condition,coherence,decision,evidence,high_evidence,time
easy,0.3,0,-2,-2,2
easy,0.3,0,-3,-3,3
easy,0.3,1,-4,-4,4
easy,0.7,0,-1,-1,3
easy,0.3,1,-2,-3,12
easy,0.7,1,3,4,5
easy,0.7,1,2,2,4
easy,0.7,1,1,1,1
easy,0.3,1,1,1,1
easy,0.7,0,1,3,7
easy,0.3,0,-3,-3,5
easy,0.7,1,1,2,5
easy,0.3,0,-1,-1,1
easy,0.7,1,1,1,1
easy,0.3,0,-5,-5,5
easy,0.7,1,2,2,6
easy,0.7,1,3,3,3
easy,0.7,1,4,4,8
easy,0.3,0,-2,-2,6
easy,0.7,1,3,3,5
easy,0.7,1,5,5,7
easy,0.3,1,3,3,13
easy,0.3,0,-2,-2,4
easy,0.3,0,-3,-4,5
easy,0.7,1,2,3,14
easy,0.3,1,-3,-3,13
easy,0.3,0,-2,-3,4
easy,0.3,0,0,2,10
easy,0.7,0,4,4,12
easy,0.7,1,2,2,4
easy,0.3,1,-1,-1,7
easy,0.3,0,-3,-3,5
easy,0.7,0,0,1,8
easy,0.7,1,4,4,6
easy,0.3,0,-3,-3,7
easy,0.7,1,4,4,4
easy,0.7,0,3,3,17
easy,0.7,1,2,2,2
easy,0.7,1,2,2,2
easy,0.7,1,4,4,6
easy,0.7,1,3,3,3
easy,0.7,0,3,3,7
easy,0.7,1,2,2,2
easy,0.7,1,2,2,2
easy,0.3,0,-1,-2,5
easy,0.3,0,-3,-3,5
easy,0.3,0,-2,-2,4
easy,0.3,0,-3,-3,13
easy,0.3,0,-1,-1,3
easy,0.7,0,-1,-1,1
easy,0.7,1,1,1,1
easy,0.7,0,-1,-2,7
easy,0.3,1,-2,-2,2
easy,0.3,0,-2,-2,2
easy,0.7,1,2,2,2
easy,0.3,1,1,2,3
easy,0.7,1,3,3,5
easy,0.3,0,-3,-3,3
easy,0.3,0,-2,-2,2
easy,0.7,1,3,3,9
easy,0.7,1,1,2,9
easy,0.3,0,-3,-3,7
easy,0.7,1,2,3,8
easy,0.7,0,0,1,6
easy,0.7,1,1,1,3
diff,0.5,1,0,1,2
diff,0.5,0,1,1,3
diff,0.5,0,-2,-2,2
diff,0.5,1,1,1,1
diff,0.5,0,1,1,3
diff,0.5,1,-2,-2,2
diff,0.5,1,1,1,1
diff,0.5,0,1,1,1
diff,0.5,1,-1,-1,1
diff,0.5,0,1,1,1
diff,0.5,1,-1,-1,5
diff,0.5,1,-1,-1,1
diff,0.5,1,2,2,2
diff,0.5,0,-2,-2,2
diff,0.5,1,0,1,2
diff,0.5,0,-2,-2,2
diff,0.5,0,0,1,2
diff,0.5,0,-1,-1,3
diff,0.5,1,1,1,1
diff,0.5,1,-2,-2,2
diff,0.5,1,-1,-1,1
diff,0.5,0,2,2,2
diff,0.5,0,-1,-1,1
diff,0.5,0,1,1,1
diff,0.5,0,-1,-1,3
diff,0.5,1,-1,-1,1
diff,0.5,1,0,1,2
diff,0.5,0,1,1,1
diff,0.5,1,0,1,2
diff,0.5,1,0,1,4
diff,0.5,0,2,2,6
diff,0.5,0,-2,-2,8
diff,0.5,0,-3,-3,7
diff,0.5,1,0,2,6
diff,0.5,0,4,4,6
diff,0.5,0,0,3,10
diff,0.5,0,-2,-3,4
diff,0.5,1,1,1,5
diff,0.5,1,5,5,7
diff,0.5,0,1,2,5
diff,0.5,0,-1,-1,5
diff,0.5,1,1,1,1
diff,0.5,0,-3,-3,3
diff,0.5,0,-3,-4,9
diff,0.5,1,1,1,1
diff,0.5,1,2,3,4
diff,0.5,0,-1,-1,7
diff,0.5,0,0,3,10
diff,0.5,0,-6,-6,6
diff,0.5,1,4,4,14
diff,0.5,0,-2,-2,12
diff,0.5,0,3,3,5
diff,0.5,1,-2,-2,6
diff,0.5,0,-1,-1,9
diff,0.5,1,-4,-4,6
diff,0.5,1,-4,-4,4
diff,0.5,0,1,3,5
diff,0.5,1,-1,-1,1
diff,0.5,0,2,2,2
mix,0.3,0,-1,-1,1
mix,0.5,1,1,1,3
mix,0.5,0,-3,-3,5
mix,0.5,1,1,1,1
mix,0.3,1,-1,-1,3
mix,0.5,0,0,1,2
mix,0.3,1,-1,-1,3
mix,0.7,0,1,1,1
mix,0.7,1,8,8,20
mix,0.3,1,-1,-1,1
mix,0.3,1,-1,-1,1
mix,0.3,0,-2,-3,4
