trial,condition,coherence,time,evidence,action,rt
1,1,0.7,1,1,0,3
1,1,0.7,2,2,0,3
1,1,0.7,3,3,1,3
2,1,0.7,1,1,0,2
2,1,0.7,2,2,1,2
3,1,0.7,1,1,0,3
3,1,0.7,2,2,0,3
3,1,0.7,3,3,1,3
4,1,0.3,1,1,0,3
4,1,0.3,2,2,0,3
4,1,0.3,3,1,1,3
5,1,0.3,1,1,0,2
5,1,0.3,2,2,1,2
6,1,0.7,1,-1,0,4
6,1,0.7,2,0,0,4
6,1,0.7,3,1,0,4
6,1,0.7,4,2,1,4
7,1,0.3,1,1,0,3
7,1,0.3,2,2,0,3
7,1,0.3,3,3,1,3
8,1,0.3,1,1,0,2
8,1,0.3,2,2,1,2
9,1,0.3,1,-1,0,3
9,1,0.3,2,-0,0,3
9,1,0.3,3,1,1,3
10,1,0.3,1,1,0,4
10,1,0.3,2,2,0,4
10,1,0.3,3,1,0,4
10,1,0.3,4,2,1,4
11,1,0.7,1,-1,0,3
11,1,0.7,2,-0,0,3
11,1,0.7,3,-1,1,3
12,1,0.7,1,1,0,2
12,1,0.7,2,2,1,2
13,1,0.7,1,1,0,5
13,1,0.7,2,0,0,5
13,1,0.7,3,1,0,5
13,1,0.7,4,0,0,5
13,1,0.7,5,1,1,5
14,1,0.3,1,-1,0,3
14,1,0.3,2,0,0,3
14,1,0.3,3,1,1,3
15,1,0.3,1,1,0,2
15,1,0.3,2,2,1,2
16,1,0.3,1,1,0,2
16,1,0.3,2,2,1,2
17,1,0.7,1,-1,0,4
17,1,0.7,2,0,0,4
17,1,0.7,3,1,0,4
17,1,0.7,4,2,1,4
18,1,0.3,1,1,0,5
18,1,0.3,2,2,0,5
18,1,0.3,3,3,0,5
18,1,0.3,4,4,0,5
18,1,0.3,5,5,1,5
19,1,0.3,1,1,0,3
19,1,0.3,2,-0,0,3
19,1,0.3,3,1,1,3
20,1,0.7,1,1,0,3
20,1,0.7,2,2,0,3
20,1,0.7,3,3,1,3
21,1,0.3,1,1,0,2
21,1,0.3,2,2,1,2
22,1,0.3,1,1,0,2
22,1,0.3,2,2,1,2
23,1,0.3,1,-1,0,4
23,1,0.3,2,-0,0,4
23,1,0.3,3,-1,0,4
23,1,0.3,4,-0,1,4
24,1,0.7,1,1,0,2
24,1,0.7,2,2,1,2
25,1,0.7,1,1,0,2
25,1,0.7,2,2,1,2
26,1,0.3,1,1,0,2
26,1,0.3,2,2,1,2
27,1,0.7,1,1,0,3
27,1,0.7,2,0,0,3
27,1,0.7,3,1,1,3
28,1,0.7,1,1,0,4
28,1,0.7,2,-0,0,4
28,1,0.7,3,1,0,4
28,1,0.7,4,-0,1,4
29,1,0.3,1,1,0,2
29,1,0.3,2,2,1,2
30,1,0.3,1,1,0,3
30,1,0.3,2,-0,0,3
30,1,0.3,3,1,1,3
31,1,0.3,1,1,0,2
31,1,0.3,2,2,1,2
32,1,0.7,1,1,0,3
32,1,0.7,2,2,0,3
32,1,0.7,3,3,1,3
33,1,0.3,1,1,0,2
33,1,0.3,2,2,1,2
34,1,0.7,1,-1,0,4
34,1,0.7,2,0,0,4
34,1,0.7,3,1,0,4
34,1,0.7,4,2,1,4
35,1,0.3,1,1,0,2
35,1,0.3,2,2,1,2
36,1,0.7,1,1,0,2
36,1,0.7,2,2,1,2
37,1,0.7,1,1,0,3
37,1,0.7,2,0,0,3
37,1,0.7,3,-1,1,3
38,1,0.3,1,1,0,2
38,1,0.3,2,2,1,2
39,1,0.7,1,-1,0,5
39,1,0.7,2,-0,0,5
39,1,0.7,3,1,0,5
39,1,0.7,4,2,0,5
39,1,0.7,5,1,1,5
40,1,0.7,1,1,0,2
40,1,0.7,2,2,1,2
41,1,0.7,1,1,0,6
41,1,0.7,2,2,0,6
41,1,0.7,3,1,0,6
41,1,0.7,4,2,0,6
41,1,0.7,5,1,0,6
41,1,0.7,6,2,1,6
42,1,0.3,1,1,0,2
42,1,0.3,2,2,1,2
43,1,0.7,1,1,0,2
43,1,0.7,2,2,1,2
44,1,0.3,1,1,0,4
44,1,0.3,2,0,0,4
44,1,0.3,3,1,0,4
44,1,0.3,4,0,1,4
45,1,0.7,1,1,0,2
45,1,0.7,2,2,1,2
46,1,0.3,1,1,0,3
46,1,0.3,2,0,0,3
46,1,0.3,3,1,1,3
47,1,0.3,1,1,0,2
47,1,0.3,2,2,1,2
48,1,0.7,1,1,0,2
48,1,0.7,2,2,1,2
49,1,0.3,1,1,0,2
49,1,0.3,2,2,1,2
50,1,0.7,1,-1,0,4
50,1,0.7,2,0,0,4
50,1,0.7,3,1,0,4
50,1,0.7,4,2,1,4
51,1,0.3,1,1,0,3
51,1,0.3,2,2,0,3
51,1,0.3,3,3,1,3
52,1,0.7,1,1,0,2
52,1,0.7,2,2,1,2
53,1,0.3,1,1,0,2
53,1,0.3,2,0,1,2
54,1,0.7,1,1,0,2
54,1,0.7,2,2,1,2
55,1,0.7,1,1,0,2
55,1,0.7,2,0,1,2
56,1,0.7,1,1,0,2
56,1,0.7,2,2,1,2
57,1,0.3,1,-1,0,4
57,1,0.3,2,0,0,4
57,1,0.3,3,-1,0,4
57,1,0.3,4,-2,1,4
58,1,0.7,1,1,0,4
58,1,0.7,2,2,0,4
58,1,0.7,3,1,0,4
58,1,0.7,4,2,1,4
59,1,0.7,1,1,0,9
59,1,0.7,2,2,0,9
59,1,0.7,3,3,0,9
59,1,0.7,4,2,0,9
59,1,0.7,5,3,0,9
59,1,0.7,6,4,0,9
59,1,0.7,7,5,0,9
59,1,0.7,8,6,0,9
