condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.28,1,-1,-1,3,0.91555
1,1,0.28,1,-3,-3,3,0.87407
1,1,0.72,0,3,3,3,0.89507
1,1,0.72,0,3,3,3,0.91363
1,1,0.28,0,3,3,3,0.88682
1,1,0.28,1,-1,-1,3,0.89292
1,1,0.72,0,2,2,2,0.67806
1,1,0.28,0,2,2,4,1.0924
1,1,0.28,1,-4,-4,6,1.4959
1,1,0.28,1,-5,-5,7,1.6977
1,1,0.72,0,3,3,7,1.6916
1,1,0.28,1,-1,-1,5,1.3096
1,1,0.72,0,3,3,5,1.3009
1,1,0.28,1,-3,-3,5,1.2361
1,1,0.28,1,-4,-4,4,1.0509
1,1,0.72,1,-2,-3,6,1.513
1,1,0.28,0,2,3,4,1.1449
1,1,0.28,1,-3,-3,7,1.6938
1,1,0.28,1,-4,-4,4,1.1115
1,1,0.28,1,-4,-4,4,1.0849
1,1,0.72,1,0,1,8,1.9047
1,1,0.72,0,3,3,3,0.8819
1,1,0.28,1,-5,-5,5,1.3099
1,1,0.28,1,-3,-3,3,0.88621
1,1,0.72,0,2,2,6,1.5056
1,1,0.72,0,4,4,4,1.0899
1,1,0.72,1,-2,-2,2,0.67945
1,1,0.28,1,-2,-2,6,1.4695
1,1,0.72,0,4,4,6,1.4532
1,1,0.72,0,1,1,9,2.0592
1,1,0.28,1,-5,-5,9,2.0486
1,1,0.72,0,2,3,8,1.7648
1,1,0.72,0,3,3,7,1.6399
1,1,0.72,0,4,4,6,1.4907
1,1,0.28,0,1,2,11,2.336
1,1,0.28,1,-2,-2,6,1.5151
1,1,0.72,0,4,4,6,1.5455
1,1,0.72,0,1,1,5,1.334
1,1,0.72,0,4,4,4,1.1469
1,1,0.28,1,-2,-2,12,2.8021
1,1,0.72,0,3,3,5,1.3286
1,1,0.72,1,0,2,8,1.9445
1,1,0.28,1,-1,-1,5,1.2034
1,1,0.28,1,-2,-2,4,1.001
1,1,0.28,1,-2,-2,4,0.97102
1,1,0.28,1,-2,-2,6,1.464
1,1,0.72,0,2,2,6,1.3707
1,1,0.72,0,3,3,9,1.9505
1,1,0.28,1,-4,-4,4,1.0249
1,1,0.72,0,2,3,4,1.0526
1,1,0.28,1,-2,-2,2,0.65612
1,2,0.28,1,-2,-2,4,1.0932
1,2,0.72,0,3,3,5,1.3239
1,2,0.72,0,2,2,4,1.1145
1,2,0.28,1,-3,-3,5,1.3448
1,2,0.28,1,-4,-4,4,1.0559
1,2,0.72,0,3,3,7,1.7143
1,2,0.28,1,-4,-4,8,1.9362
1,2,0.72,0,4,4,8,1.9217
1,2,0.72,0,4,4,6,1.5498
1,2,0.28,1,-4,-4,6,1.4769
1,2,0.28,1,-3,-3,9,2.1997
1,2,0.72,0,3,3,5,1.2805
1,2,0.28,1,-1,-3,9,2.1405
1,2,0.72,0,2,2,6,1.5321
1,2,0.72,0,3,3,3,0.84616
1,2,0.28,1,0,2,6,1.4821
1,2,0.72,1,-1,-1,5,1.2534
1,2,0.72,0,3,3,7,1.7098
1,2,0.72,0,4,4,6,1.5688
1,2,0.72,0,5,5,5,1.306
1,2,0.28,1,-1,-1,5,1.3169
1,2,0.28,1,2,2,6,1.475
1,2,0.28,1,-2,-2,4,1.0239
1,2,0.72,0,3,3,7,1.6244
1,2,0.28,0,2,2,6,1.4686
1,2,0.28,1,0,1,2,0.64734
1,2,0.28,1,-4,-4,4,1.1474
1,2,0.28,1,-4,-4,4,1.0829
1,2,0.28,1,-3,-3,3,0.90929
1,2,0.28,1,-4,-4,6,1.5492
1,2,0.28,0,1,1,7,1.6314
1,2,0.72,0,4,4,4,1.0901
1,2,0.28,1,-4,-4,4,1.125
1,2,0.72,0,2,2,6,1.5183
1,2,0.72,0,5,5,5,1.3321
1,2,0.28,1,-3,-3,3,0.88967
1,2,0.28,1,-3,-3,3,0.87944
1,2,0.28,1,-2,-2,4,1.0773
1,2,0.28,1,-3,-3,7,1.707
1,2,0.72,0,3,3,5,1.3473
1,2,0.72,1,-2,-2,4,1.119
1,2,0.72,0,3,3,7,1.6346
1,2,0.72,1,0,1,4,0.9679
1,2,0.72,0,6,6,10,2.1513
1,2,0.72,0,4,4,4,0.99899
1,2,0.28,1,-4,-4,8,1.8153
1,2,0.72,1,-2,-2,6,1.4391
1,2,0.72,0,0,2,8,1.9001
1,2,0.72,0,3,3,3,0.91212
1,2,0.72,0,4,4,4,1.0856
1,2,0.28,1,-3,-3,5,1.2758
1,2,0.28,1,-2,-3,4,1.098
1,2,0.72,1,2,3,10,2.4022
2,1,0.5,0,-1,-1,1,0.42189
2,1,0.5,1,-3,-3,5,1.3561
2,1,0.5,0,1,1,1,0.48593
2,1,0.5,1,0,2,10,2.2553
2,2,0.5,1,1,2,49,10.541
2,2,0.5,0,1,1,1,0.51617
3,1,0.5,1,-2,-2,2,0.63723
3,1,0.5,0,1,2,3,0.85231
3,1,0.5,1,-1,-2,5,1.2625
3,1,0.5,0,2,2,2,0.63855
3,1,0.72,0,2,2,4,1.0284
3,1,0.5,0,2,2,2,0.70803
3,1,0.28,1,-2,-2,2,0.6351
3,1,0.5,0,2,2,2,0.69397
3,1,0.28,0,1,1,1,0.49945
3,1,0.5,1,-2,-2,2,0.68928
3,1,0.28,0,2,2,2,0.67246
3,1,0.5,1,-3,-3,5,1.327
3,1,0.5,1,-2,-2,2,0.66949
3,1,0.5,1,-2,-2,2,0.68955
3,1,0.5,1,-2,-2,2,0.61637
3,1,0.28,1,-1,-1,1,0.44229
3,1,0.72,0,1,1,3,0.90696
3,1,0.72,0,2,2,2,0.69386
3,1,0.5,0,2,2,2,0.69562
3,1,0.5,1,-2,-2,2,0.71402
3,1,0.5,1,-2,-2,2,0.64793
3,1,0.72,0,2,2,4,1.1155
3,1,0.72,0,2,2,2,0.70503
3,1,0.28,0,2,2,2,0.72562
3,1,0.28,0,1,1,3,0.90639
