trial,condition,coherence,time,evidence,action,rt
1,1,0.28,1,1,0,6
1,1,0.28,2,2,0,6
1,1,0.28,3,1,0,6
1,1,0.28,4,-0,0,6
1,1,0.28,5,1,0,6
1,1,0.28,6,2,1,6
2,1,0.72,1,1,0,7
2,1,0.72,2,0,0,7
2,1,0.72,3,1,0,7
2,1,0.72,4,0,0,7
2,1,0.72,5,1,0,7
2,1,0.72,6,2,0,7
2,1,0.72,7,3,1,7
3,1,0.28,1,1,0,3
3,1,0.28,2,2,0,3
3,1,0.28,3,3,1,3
4,1,0.72,1,1,0,3
4,1,0.72,2,2,0,3
4,1,0.72,3,3,1,3
5,1,0.72,1,1,0,2
5,1,0.72,2,2,1,2
6,1,0.28,1,1,0,2
6,1,0.28,2,2,1,2
7,1,0.28,1,1,0,3
7,1,0.28,2,2,0,3
7,1,0.28,3,3,1,3
8,1,0.28,1,1,0,3
8,1,0.28,2,2,0,3
8,1,0.28,3,3,1,3
9,1,0.28,1,1,0,6
9,1,0.28,2,-0,0,6
9,1,0.28,3,-1,0,6
9,1,0.28,4,-0,0,6
9,1,0.28,5,1,0,6
9,1,0.28,6,2,1,6
10,1,0.28,1,1,0,2
10,1,0.28,2,2,1,2
11,1,0.28,1,1,0,2
11,1,0.28,2,2,1,2
12,1,0.72,1,1,0,2
12,1,0.72,2,2,1,2
13,1,0.28,1,1,0,2
13,1,0.28,2,2,1,2
14,1,0.72,1,-1,0,6
14,1,0.72,2,0,0,6
14,1,0.72,3,-1,0,6
14,1,0.72,4,0,0,6
14,1,0.72,5,1,0,6
14,1,0.72,6,2,1,6
15,1,0.28,1,1,0,2
15,1,0.28,2,2,1,2
16,1,0.28,1,1,0,4
16,1,0.28,2,-0,0,4
16,1,0.28,3,1,0,4
16,1,0.28,4,2,1,4
17,1,0.72,1,1,1,1
18,1,0.72,1,-1,0,7
18,1,0.72,2,0,0,7
18,1,0.72,3,-1,0,7
18,1,0.72,4,0,0,7
18,1,0.72,5,1,0,7
18,1,0.72,6,0,0,7
18,1,0.72,7,1,1,7
19,1,0.72,1,1,0,6
19,1,0.72,2,0,0,6
19,1,0.72,3,1,0,6
19,1,0.72,4,2,0,6
19,1,0.72,5,1,0,6
19,1,0.72,6,2,1,6
20,1,0.28,1,1,0,3
20,1,0.28,2,2,0,3
20,1,0.28,3,3,1,3
21,1,0.28,1,1,0,2
21,1,0.28,2,2,1,2
22,1,0.28,1,1,0,4
22,1,0.28,2,-0,0,4
22,1,0.28,3,1,0,4
22,1,0.28,4,2,1,4
23,1,0.28,1,-1,0,9
23,1,0.28,2,0,0,9
23,1,0.28,3,-1,0,9
23,1,0.28,4,0,0,9
23,1,0.28,5,-1,0,9
23,1,0.28,6,0,0,9
23,1,0.28,7,1,0,9
23,1,0.28,8,0,0,9
23,1,0.28,9,1,1,9
24,1,0.72,1,1,0,3
24,1,0.72,2,2,0,3
24,1,0.72,3,3,1,3
25,1,0.28,1,1,0,3
25,1,0.28,2,2,0,3
25,1,0.28,3,1,1,3
26,1,0.72,1,-1,0,5
26,1,0.72,2,-0,0,5
26,1,0.72,3,1,0,5
26,1,0.72,4,2,0,5
26,1,0.72,5,3,1,5
27,1,0.72,1,1,0,2
27,1,0.72,2,2,1,2
28,1,0.72,1,1,0,2
28,1,0.72,2,2,1,2
29,1,0.72,1,1,0,6
29,1,0.72,2,0,0,6
29,1,0.72,3,1,0,6
29,1,0.72,4,0,0,6
29,1,0.72,5,1,0,6
29,1,0.72,6,2,1,6
30,1,0.72,1,1,0,2
30,1,0.72,2,2,1,2
31,1,0.28,1,1,0,3
31,1,0.28,2,2,0,3
31,1,0.28,3,3,1,3
32,1,0.72,1,1,0,2
32,1,0.72,2,2,1,2
33,1,0.72,1,1,0,2
33,1,0.72,2,2,1,2
34,1,0.72,1,1,0,3
34,1,0.72,2,2,0,3
34,1,0.72,3,1,1,3
35,1,0.72,1,1,1,1
36,1,0.72,1,1,0,3
36,1,0.72,2,2,0,3
36,1,0.72,3,3,1,3
37,1,0.72,1,1,0,3
37,1,0.72,2,2,0,3
37,1,0.72,3,3,1,3
38,1,0.72,1,1,0,5
38,1,0.72,2,2,0,5
38,1,0.72,3,1,0,5
38,1,0.72,4,2,0,5
38,1,0.72,5,3,1,5
39,1,0.72,1,1,0,4
39,1,0.72,2,2,0,4
39,1,0.72,3,3,0,4
39,1,0.72,4,4,1,4
40,1,0.72,1,1,0,2
40,1,0.72,2,2,1,2
41,1,0.72,1,1,0,2
41,1,0.72,2,2,1,2
42,1,0.72,1,-1,0,5
42,1,0.72,2,0,0,5
42,1,0.72,3,1,0,5
42,1,0.72,4,2,0,5
42,1,0.72,5,3,1,5
43,1,0.28,1,1,0,4
43,1,0.28,2,2,0,4
43,1,0.28,3,1,0,4
43,1,0.28,4,2,1,4
44,1,0.28,1,1,0,3
44,1,0.28,2,2,0,3
44,1,0.28,3,3,1,3
45,1,0.72,1,1,0,2
45,1,0.72,2,2,1,2
46,1,0.72,1,1,0,2
46,1,0.72,2,2,1,2
47,1,0.72,1,1,0,5
47,1,0.72,2,0,0,5
47,1,0.72,3,1,0,5
47,1,0.72,4,2,0,5
47,1,0.72,5,3,1,5
48,1,0.72,1,1,0,2
48,1,0.72,2,2,1,2
49,1,0.72,1,1,0,2
49,1,0.72,2,2,1,2
50,1,0.28,1,1,0,2
50,1,0.28,2,2,1,2
51,1,0.72,1,1,0,4
51,1,0.72,2,0,0,4
51,1,0.72,3,1,0,4
51,1,0.72,4,2,1,4
52,1,0.28,1,1,0,2
52,1,0.28,2,2,1,2
53,1,0.72,1,1,0,3
53,1,0.72,2,2,0,3
53,1,0.72,3,3,1,3
54,1,0.28,1,1,0,6
54,1,0.28,2,-0,0,6
54,1,0.28,3,1,0,6
54,1,0.28,4,-0,0,6
54,1,0.28,5,1,0,6
54,1,0.28,6,2,1,6
55,1,0.28,1,1,0,3
55,1,0.28,2,-0,0,3
55,1,0.28,3,1,1,3
56,1,0.72,1,-1,0,5
56,1,0.72,2,0,0,5
56,1,0.72,3,1,0,5
56,1,0.72,4,2,0,5
56,1,0.72,5,3,1,5
57,1,0.72,1,-1,0,6
57,1,0.72,2,-2,0,6
57,1,0.72,3,-1,0,6
57,1,0.72,4,0,0,6
57,1,0.72,5,1,0,6
57,1,0.72,6,2,1,6
58,1,0.28,1,1,0,3
58,1,0.28,2,2,0,3
58,1,0.28,3,3,1,3
59,1,0.28,1,1,1,1
60,1,0.72,1,1,0,2
60,1,0.72,2,2,1,2
61,1,0.72,1,1,1,1
62,1,0.72,1,1,0,2
62,1,0.72,2,2,1,2
63,1,0.28,1,-1,0,5
63,1,0.28,2,-0,0,5
63,1,0.28,3,1,0,5
63,1,0.28,4,2,0,5
63,1,0.28,5,3,1,5
64,1,0.72,1,1,0,7
64,1,0.72,2,2,0,7
64,1,0.72,3,1,0,7
64,1,0.72,4,0,0,7
64,1,0.72,5,1,0,7
64,1,0.72,6,2,0,7
64,1,0.72,7,3,1,7
65,1,0.72,1,1,0,5
65,1,0.72,2,2,0,5
65,1,0.72,3,3,0,5
65,1,0.72,4,2,0,5
65,1,0.72,5,3,1,5
66,1,0.28,1,1,0,2
