condition,block,coherence,decision,evidence,high_evidence,time,rt
easy,1,0.25,1,-3,-4,8,0.74846
easy,1,0.25,1,-8,-8,5,0.60574
easy,1,0.25,1,-8,-8,3,0.50733
easy,1,0.25,1,-4,-4,5,0.58119
easy,1,0.25,1,-10,-10,19,1.2735
easy,1,0.75,0,7,7,8,0.76094
easy,1,0.75,0,7,7,6,0.6414
easy,1,0.75,0,7,7,4,0.53524
easy,1,0.75,0,7,7,6,0.65916
easy,1,0.25,1,-5,-5,4,0.58302
easy,1,0.25,1,-6,-6,5,0.56025
easy,1,0.25,1,-3,-4,4,0.61635
easy,1,0.25,1,-6,-6,3,0.50793
easy,1,0.25,0,0,2,3,0.51051
easy,1,0.75,0,9,9,4,0.6234
easy,1,0.75,0,6,7,7,0.74522
easy,1,0.75,0,8,8,7,0.66798
easy,1,0.75,0,6,7,3,0.5652
easy,1,0.75,0,4,5,11,1.0429
easy,1,0.25,1,-8,-8,5,0.60116
easy,1,0.75,0,5,6,10,0.98441
easy,1,0.75,0,7,7,2,0.5148
easy,1,0.25,1,-7,-7,6,0.65094
easy,1,0.25,1,-6,-6,3,0.52812
easy,1,0.75,0,5,6,8,0.87787
easy,1,0.75,0,8,8,7,0.71845
easy,1,0.75,0,5,5,4,0.63014
easy,1,0.75,0,5,5,2,0.50391
easy,1,0.25,1,-8,-8,3,0.56115
easy,2,0.75,0,6,7,3,0.48097
easy,2,0.75,0,6,6,3,0.46249
easy,2,0.25,1,-8,-8,3,0.48846
easy,2,0.75,0,2,3,1,0.39776
easy,2,0.75,0,8,8,5,0.56601
easy,2,0.75,0,4,4,5,0.60425
easy,2,0.25,1,-6,-6,3,0.50583
easy,2,0.75,0,8,8,3,0.49964
easy,2,0.25,1,-2,-3,7,0.73583
easy,2,0.25,1,-7,-7,2,0.48297
easy,2,0.25,1,-6,-6,5,0.56905
easy,2,0.75,0,6,7,15,1.2626
easy,2,0.25,1,-6,-6,9,0.91234
easy,2,0.25,1,-5,-7,6,0.62502
easy,2,0.75,0,7,7,10,0.98608
easy,2,0.25,1,-1,-3,8,0.86019
easy,2,0.75,0,11,11,8,0.76861
easy,2,0.75,0,5,6,10,0.99749
easy,2,0.25,1,-3,-5,6,0.71804
easy,2,0.75,0,5,5,4,0.55749
easy,2,0.25,1,-6,-6,5,0.68583
easy,2,0.25,1,-5,-6,8,0.86775
easy,2,0.75,0,4,5,13,1.1012
easy,2,0.75,0,7,7,4,0.62282
easy,2,0.25,1,-7,-7,4,0.61673
easy,2,0.25,1,-6,-6,5,0.66065
easy,2,0.75,0,2,3,9,0.7847
easy,2,0.25,1,-8,-8,21,1.4184
easy,2,0.25,1,-5,-5,10,0.99042
easy,3,0.25,1,-7,-7,4,0.52033
easy,3,0.25,1,-9,-9,4,0.53633
easy,3,0.25,1,-7,-7,6,0.70032
easy,3,0.75,0,7,7,6,0.67204
easy,3,0.25,1,-6,-6,7,0.69604
easy,3,0.25,1,-9,-9,4,0.55643
easy,3,0.75,0,7,8,10,0.87618
easy,3,0.75,0,7,7,4,0.52338
easy,3,0.75,0,5,6,6,0.75302
easy,3,0.75,0,6,7,3,0.51339
easy,3,0.75,0,7,7,12,0.92882
easy,3,0.75,0,0,3,5,0.68714
easy,3,0.75,0,6,7,9,0.93256
easy,3,0.25,1,-9,-9,8,0.72094
easy,3,0.25,1,-6,-7,3,0.52815
easy,3,0.25,1,-6,-7,5,0.69426
easy,3,0.25,1,-7,-8,8,0.77054
easy,3,0.25,1,-2,-4,7,0.80019
easy,3,0.25,1,-9,-9,4,0.60749
easy,3,0.75,0,9,9,6,0.68581
easy,3,0.25,1,-6,-6,5,0.66755
easy,3,0.75,0,5,6,6,0.69371
easy,3,0.75,0,8,8,9,0.92912
easy,3,0.75,0,6,6,3,0.54291
easy,3,0.25,1,-8,-8,7,0.73694
easy,3,0.25,1,-8,-8,7,0.7888
easy,3,0.25,1,-7,-7,6,0.66272
easy,3,0.25,1,-8,-9,7,0.71232
easy,4,0.25,1,-6,-6,7,0.74273
easy,4,0.75,0,4,5,7,0.76018
easy,4,0.75,0,2,3,7,0.74417
easy,4,0.25,1,2,2,7,0.71377
easy,4,0.75,0,9,9,8,0.74558
easy,4,0.75,0,11,11,22,1.6517
easy,4,0.75,0,7,7,14,1.1595
easy,4,0.75,0,6,6,7,0.70346
easy,4,0.75,0,4,4,9,0.89761
easy,4,0.75,0,6,6,5,0.66154
easy,4,0.75,0,8,8,5,0.60664
easy,4,0.25,1,-7,-7,4,0.61271
easy,4,0.25,1,-6,-6,3,0.52872
easy,4,0.75,0,4,5,7,0.70269
easy,4,0.25,1,-5,-5,12,1.1039
easy,4,0.75,0,4,5,11,1.026
easy,4,0.75,0,6,7,9,0.81219
easy,4,0.25,1,-4,-5,11,0.99206
easy,4,0.25,1,-8,-9,7,0.77609
easy,4,0.25,1,-5,-5,6,0.70788
easy,4,0.75,0,7,8,4,0.59734
easy,4,0.75,0,6,6,9,0.91712
easy,4,0.75,1,4,4,7,0.79679
easy,4,0.25,1,-7,-8,4,0.61287
easy,4,0.25,1,-8,-8,9,0.79251
easy,4,0.25,1,-3,-5,4,0.59298
easy,4,0.75,0,7,7,12,0.93621
easy,4,0.75,0,9,9,4,0.55662
diff,1,0.53,0,5,5,32,1.9346
diff,1,0.47,1,-9,-11,18,1.2337
diff,1,0.53,1,-4,-5,25,1.5853
diff,1,0.53,1,-5,-6,16,1.1319
diff,1,0.53,0,10,11,27,1.6958
diff,1,0.47,1,-7,-7,20,1.3716
diff,1,0.53,0,0,6,19,1.303
diff,1,0.53,1,5,8,46,2.6091
diff,1,0.53,1,-1,-3,28,1.8465
diff,1,0.53,1,0,2,17,1.1799
diff,1,0.47,0,9,10,22,1.4646
diff,1,0.47,1,-14,-16,29,1.9222
diff,1,0.53,1,-2,-4,21,1.4314
diff,1,0.47,0,7,7,34,2.0313
diff,1,0.47,1,-10,-10,37,2.3693
diff,1,0.53,0,8,10,41,2.4952
diff,1,0.53,1,-7,-11,34,2.0028
diff,1,0.53,0,10,10,51,3.1606
diff,1,0.47,1,-12,-13,43,2.5599
diff,1,0.47,1,-1,-4,58,3.2321
diff,2,0.53,1,-1,-7,38,2.3109
diff,2,0.47,1,-4,-4,11,0.86396
diff,2,0.53,0,-1,-1,8,0.73797
diff,2,0.53,0,4,4,19,1.3582
diff,2,0.53,0,7,8,12,0.92577
diff,2,0.47,0,5,5,16,1.1157
diff,2,0.53,0,7,10,20,1.395
diff,2,0.53,0,3,5,6,0.65109
diff,2,0.47,1,-5,-5,20,1.3113
diff,2,0.47,0,-1,-1,12,0.98231
diff,2,0.47,0,7,7,4,0.57615
diff,2,0.47,1,-7,-7,18,1.2128
diff,2,0.53,0,11,12,24,1.6958
diff,2,0.47,1,-4,-5,7,0.71632
diff,2,0.47,1,-3,-5,12,0.92175
diff,2,0.47,0,3,5,12,1.1195
diff,2,0.47,0,0,5,15,1.2074
diff,2,0.47,0,2,4,21,1.381
diff,2,0.47,1,-6,-6,27,1.993
diff,2,0.47,1,-9,-10,20,1.4733
diff,2,0.47,1,-6,-8,9,0.76074
diff,2,0.53,0,-4,-5,27,1.9928
diff,2,0.53,1,-8,-8,7,0.81682
diff,2,0.53,1,-11,-12,20,1.3304
diff,3,0.47,1,-7,-7,20,1.4027
diff,3,0.47,0,1,4,18,1.2972
diff,3,0.53,1,3,7,38,2.2441
diff,3,0.47,1,-6,-7,13,0.99486
diff,3,0.47,1,-3,-5,12,0.93028
diff,3,0.53,0,10,10,7,0.70422
diff,3,0.47,1,-1,-4,10,0.86615
diff,3,0.47,1,-1,-3,22,1.4355
diff,3,0.47,0,1,3,8,0.78731
diff,3,0.53,0,5,6,18,1.3331
