condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.28,1,0,1,2,0.46213
1,1,0.28,0,2,2,2,0.44228
1,1,0.28,0,1,2,3,0.51658
1,1,0.28,0,3,3,3,0.4943
1,1,0.72,1,-1,-1,7,0.71001
1,1,0.28,1,-1,-1,1,0.3942
1,1,0.72,0,4,4,4,0.52344
1,1,0.28,0,1,2,3,0.50803
1,1,0.28,0,-1,-2,7,0.70375
1,1,0.28,1,-4,-4,4,0.50147
1,1,0.28,1,-1,-1,3,0.49727
1,1,0.28,1,-2,-2,2,0.45523
1,1,0.72,0,1,3,5,0.56551
1,1,0.72,0,2,2,2,0.46128
1,1,0.72,0,0,2,6,0.65723
1,1,0.28,0,0,1,4,0.5353
1,1,0.72,0,2,2,2,0.47075
1,1,0.28,0,2,2,2,0.47533
1,1,0.28,1,-1,-1,1,0.38291
1,1,0.72,0,1,1,5,0.66669
1,1,0.72,1,-1,-1,3,0.52691
1,1,0.28,1,-1,-1,1,0.36671
1,1,0.72,1,-1,-1,3,0.55817
1,1,0.72,0,0,1,2,0.46464
1,1,0.28,0,1,2,5,0.56393
1,1,0.72,1,1,1,1,0.43032
1,1,0.28,1,-1,-1,3,0.53808
1,1,0.72,0,4,4,4,0.52831
1,1,0.28,1,-1,-1,3,0.57638
1,1,0.72,1,2,3,4,0.61352
1,1,0.28,1,-3,-3,3,0.46218
1,1,0.28,1,-1,-1,1,0.44131
1,1,0.28,1,-2,-2,2,0.4737
1,1,0.28,1,-1,-1,3,0.49171
1,1,0.28,1,-2,-2,2,0.4897
1,1,0.28,1,0,1,2,0.50551
1,1,0.72,0,0,1,4,0.63705
1,1,0.72,0,3,3,3,0.51168
1,1,0.28,1,-3,-3,5,0.60099
1,1,0.28,1,0,1,2,0.4968
1,1,0.28,1,-1,-1,3,0.47137
1,1,0.28,1,-3,-3,3,0.46496
1,1,0.72,1,-1,-1,3,0.53302
1,1,0.72,0,5,5,7,0.71654
1,1,0.28,1,-3,-3,3,0.48671
1,1,0.28,1,-3,-3,5,0.6527
