trial,condition,coherence,time,evidence,action,rt
1,1,0.72,1,1,0,3
1,1,0.72,2,2,0,3
1,1,0.72,3,3,1,3
2,1,0.72,1,1,0,5
2,1,0.72,2,2,0,5
2,1,0.72,3,3,0,5
2,1,0.72,4,4,0,5
2,1,0.72,5,3,1,5
3,1,0.72,1,-1,0,4
3,1,0.72,2,0,0,4
3,1,0.72,3,1,0,4
3,1,0.72,4,2,1,4
4,1,0.28,1,1,0,2
4,1,0.28,2,0,1,2
5,1,0.28,1,1,0,4
5,1,0.28,2,2,0,4
5,1,0.28,3,3,0,4
5,1,0.28,4,4,1,4
6,1,0.72,1,1,0,4
6,1,0.72,2,2,0,4
6,1,0.72,3,3,0,4
6,1,0.72,4,4,1,4
7,1,0.72,1,1,0,3
7,1,0.72,2,2,0,3
7,1,0.72,3,3,1,3
8,1,0.72,1,1,0,6
8,1,0.72,2,0,0,6
8,1,0.72,3,-1,0,6
8,1,0.72,4,0,0,6
8,1,0.72,5,1,0,6
8,1,0.72,6,2,1,6
9,1,0.72,1,-1,0,4
9,1,0.72,2,0,0,4
9,1,0.72,3,-1,0,4
9,1,0.72,4,0,1,4
10,1,0.28,1,1,0,5
10,1,0.28,2,-0,0,5
10,1,0.28,3,1,0,5
10,1,0.28,4,2,0,5
10,1,0.28,5,3,1,5
11,1,0.72,1,1,0,3
11,1,0.72,2,2,0,3
11,1,0.72,3,1,1,3
12,1,0.72,1,1,0,4
12,1,0.72,2,2,0,4
12,1,0.72,3,3,0,4
12,1,0.72,4,4,1,4
13,1,0.72,1,-1,0,4
13,1,0.72,2,0,0,4
13,1,0.72,3,-1,0,4
13,1,0.72,4,0,1,4
14,1,0.28,1,1,0,3
14,1,0.28,2,2,0,3
14,1,0.28,3,3,1,3
15,1,0.28,1,1,0,4
15,1,0.28,2,2,0,4
15,1,0.28,3,3,0,4
15,1,0.28,4,4,1,4
16,1,0.28,1,1,0,2
16,1,0.28,2,2,1,2
17,1,0.72,1,1,0,3
17,1,0.72,2,2,0,3
17,1,0.72,3,3,1,3
18,1,0.28,1,1,0,4
18,1,0.28,2,0,0,4
18,1,0.28,3,1,0,4
18,1,0.28,4,0,1,4
19,1,0.72,1,1,0,6
19,1,0.72,2,-0,0,6
19,1,0.72,3,-1,0,6
19,1,0.72,4,-0,0,6
19,1,0.72,5,-1,0,6
19,1,0.72,6,-0,1,6
20,1,0.28,1,1,0,7
20,1,0.28,2,2,0,7
20,1,0.28,3,3,0,7
20,1,0.28,4,4,0,7
20,1,0.28,5,3,0,7
20,1,0.28,6,4,0,7
20,1,0.28,7,3,1,7
21,1,0.72,1,1,0,4
21,1,0.72,2,2,0,4
21,1,0.72,3,3,0,4
21,1,0.72,4,4,1,4
22,1,0.72,1,1,0,3
22,1,0.72,2,2,0,3
22,1,0.72,3,3,1,3
23,1,0.28,1,-1,0,4
23,1,0.28,2,-2,0,4
23,1,0.28,3,-1,0,4
23,1,0.28,4,0,1,4
24,1,0.72,1,1,0,7
24,1,0.72,2,0,0,7
24,1,0.72,3,1,0,7
24,1,0.72,4,0,0,7
24,1,0.72,5,1,0,7
24,1,0.72,6,2,0,7
24,1,0.72,7,1,1,7
25,1,0.28,1,1,0,4
25,1,0.28,2,-0,0,4
25,1,0.28,3,1,0,4
25,1,0.28,4,2,1,4
26,1,0.72,1,1,0,13
26,1,0.72,2,0,0,13
26,1,0.72,3,1,0,13
26,1,0.72,4,2,0,13
26,1,0.72,5,3,0,13
26,1,0.72,6,4,0,13
26,1,0.72,7,3,0,13
26,1,0.72,8,2,0,13
26,1,0.72,9,3,0,13
26,1,0.72,10,4,0,13
26,1,0.72,11,5,0,13
26,1,0.72,12,6,0,13
26,1,0.72,13,7,1,13
