condition,coherence,time,evidence,action
1,0.72,1,1,0
1,0.72,2,2,0
1,0.72,3,3,1
1,0.72,1,1,0
1,0.72,2,2,0
1,0.72,3,3,1
1,0.28,1,-1,0
1,0.28,2,-2,0
1,0.28,3,-1,0
1,0.28,4,0,0
1,0.28,5,1,0
1,0.28,6,2,0
1,0.28,7,1,0
1,0.28,8,2,1
1,0.28,1,1,0
1,0.28,2,2,0
1,0.28,3,3,0
1,0.28,4,4,0
1,0.28,5,3,0
1,0.28,6,4,0
1,0.28,7,5,0
1,0.28,8,6,1
1,0.72,1,-1,0
1,0.72,2,-2,0
1,0.72,3,-1,0
1,0.72,4,-2,0
1,0.72,5,-1,0
1,0.72,6,0,0
1,0.72,7,1,0
1,0.72,8,2,0
1,0.72,9,3,0
1,0.72,10,4,1
1,0.72,1,1,0
1,0.72,2,2,0
1,0.72,3,3,0
1,0.72,4,4,1
1,0.72,1,1,0
1,0.72,2,2,0
1,0.72,3,1,0
1,0.72,4,2,1
1,0.28,1,1,0
1,0.28,2,2,0
1,0.28,3,3,1
1,0.72,1,1,0
1,0.72,2,0,0
1,0.72,3,1,0
1,0.72,4,2,0
1,0.72,5,1,0
1,0.72,6,0,0
1,0.72,7,1,0
1,0.72,8,0,0
1,0.72,9,1,0
1,0.72,10,2,0
1,0.72,11,1,0
1,0.72,12,2,0
1,0.72,13,3,1
1,0.72,1,1,0
1,0.72,2,2,0
1,0.72,3,3,0
1,0.72,4,4,0
1,0.72,5,3,1
1,0.28,1,-1,0
1,0.28,2,-0,0
1,0.28,3,1,0
1,0.28,4,2,0
1,0.28,5,3,1
1,0.72,1,1,0
1,0.72,2,2,0
1,0.72,3,3,0
1,0.72,4,4,1
1,0.28,1,1,0
1,0.28,2,2,0
1,0.28,3,3,0
1,0.28,4,4,1
1,0.28,1,1,0
1,0.28,2,0,0
1,0.28,3,1,0
1,0.28,4,0,1
1,0.72,1,-1,0
1,0.72,2,-0,0
1,0.72,3,1,0
1,0.72,4,-0,0
1,0.72,5,1,0
1,0.72,6,-0,0
1,0.72,7,-1,1
1,0.72,1,1,0
1,0.72,2,0,0
1,0.72,3,1,0
1,0.72,4,2,0
1,0.72,5,3,0
1,0.72,6,4,0
1,0.72,7,5,1
1,0.72,1,1,0
1,0.72,2,2,0
1,0.72,3,1,0
1,0.72,4,2,0
1,0.72,5,3,0
1,0.72,6,2,0
1,0.72,7,3,0
1,0.72,8,4,0
1,0.72,9,3,0
1,0.72,10,4,1
1,0.28,1,1,0
1,0.28,2,2,0
1,0.28,3,3,0
1,0.28,4,2,0
1,0.28,5,3,0
1,0.28,6,4,0
1,0.28,7,5,0
1,0.28,8,6,1
1,0.28,1,1,0
1,0.28,2,2,0
1,0.28,3,1,0
