condition,block,coherence,decision,evidence,high_evidence,time,rt
easy,1,0.75,0,6,6,6,0.59624
easy,1,0.25,1,-9,-9,7,0.62012
easy,1,0.75,0,8,8,6,0.58397
easy,1,0.25,1,-5,-5,5,0.5456
easy,1,0.25,1,-6,-6,4,0.45934
easy,1,0.25,1,-7,-7,5,0.53534
easy,1,0.25,1,-3,-3,3,0.43564
easy,1,0.75,1,2,2,4,0.48285
easy,1,0.25,0,2,3,4,0.4966
easy,1,0.25,1,-7,-7,3,0.42909
easy,1,0.25,1,-5,-5,3,0.4062
easy,1,0.25,1,-6,-6,4,0.51657
easy,1,0.75,0,3,6,5,0.53259
easy,1,0.75,0,4,5,4,0.47195
easy,1,0.75,0,5,6,3,0.46348
easy,1,0.25,1,-5,-5,5,0.56954
easy,1,0.25,1,-8,-8,6,0.55996
easy,1,0.25,1,-5,-5,3,0.49591
easy,1,0.25,1,-6,-6,2,0.403
easy,1,0.75,0,2,2,6,0.60131
easy,1,0.75,0,7,7,3,0.51851
easy,1,0.75,1,1,1,5,0.60676
easy,1,0.75,0,5,5,3,0.43707
easy,1,0.75,0,6,6,2,0.46081
easy,1,0.75,0,6,6,4,0.54462
easy,1,0.25,1,-5,-5,3,0.42614
easy,1,0.75,0,6,6,2,0.45987
easy,1,0.25,1,-2,-3,4,0.55933
easy,1,0.25,1,-7,-7,5,0.54412
easy,1,0.75,0,7,7,3,0.50569
easy,2,0.25,1,-6,-6,4,0.47888
easy,2,0.75,0,5,5,7,0.65503
easy,2,0.75,0,4,4,6,0.59448
easy,2,0.75,0,4,5,4,0.49045
easy,2,0.75,0,5,5,3,0.42416
easy,2,0.25,1,-8,-8,6,0.64244
easy,2,0.75,0,7,7,5,0.52747
easy,2,0.25,1,-6,-7,4,0.47002
easy,2,0.25,1,-4,-4,4,0.54382
easy,2,0.75,0,5,5,3,0.44973
easy,2,0.75,0,6,6,6,0.5592
easy,2,0.75,0,2,2,2,0.4473
easy,2,0.25,0,-2,-2,6,0.63682
easy,2,0.75,0,6,7,4,0.48496
easy,2,0.75,0,4,4,2,0.45091
easy,2,0.75,0,6,6,2,0.3924
easy,2,0.25,0,0,2,2,0.40046
easy,2,0.75,1,-3,-3,3,0.51203
easy,2,0.25,1,-3,-4,3,0.52022
easy,2,0.75,1,3,3,5,0.55969
easy,2,0.75,0,2,2,4,0.57572
easy,2,0.25,1,-5,-5,3,0.49166
easy,2,0.75,0,8,8,6,0.60679
easy,2,0.25,1,-5,-5,5,0.58161
easy,2,0.75,0,7,7,7,0.69461
easy,2,0.25,1,-7,-7,3,0.46712
easy,2,0.25,1,-6,-7,4,0.55655
easy,2,0.75,0,5,5,5,0.60483
easy,2,0.75,0,4,4,2,0.45076
easy,2,0.25,1,-7,-7,3,0.49671
diff,1,0.53,0,0,1,4,0.2842
diff,1,0.47,0,6,6,4,0.5058
diff,1,0.47,0,0,1,4,0.29159
diff,1,0.53,0,1,3,1,0.343
diff,1,0.53,1,0,2,2,0.39327
diff,1,0.53,1,2,2,2,0.40137
diff,1,0.47,1,0,1,2,0.39943
diff,1,0.47,1,0,2,2,0.3909
diff,1,0.47,1,-1,-3,3,0.4246
diff,1,0.47,1,-4,-4,2,0.3861
diff,1,0.47,1,-2,-2,2,0.40198
diff,1,0.53,0,2,3,6,0.56802
diff,1,0.47,0,-3,-3,1,0.32603
diff,1,0.47,0,0,2,2,0.37968
diff,1,0.53,1,1,2,3,0.41559
diff,1,0.53,1,1,4,9,0.7396
diff,1,0.53,0,4,4,2,0.39104
diff,1,0.53,0,-3,-3,3,0.42573
diff,1,0.47,0,-2,-2,2,0.37159
diff,1,0.47,0,-1,-2,1,0.34302
diff,1,0.47,0,3,3,1,0.34444
diff,1,0.53,1,-2,-2,2,0.37909
diff,1,0.53,1,-1,-1,1,0.35054
diff,1,0.53,1,-5,-5,1,0.34416
diff,1,0.53,1,-1,-1,1,0.30653
diff,1,0.53,1,4,4,4,0.54037
diff,1,0.53,1,5,5,3,0.43968
diff,1,0.53,1,0,1,2,0.37554
diff,1,0.47,0,1,1,3,0.26004
diff,1,0.47,1,-1,-1,1,0.3515
diff,1,0.47,1,-4,-4,4,0.45527
diff,1,0.53,1,-3,-3,3,0.44335
diff,2,0.47,1,2,2,4,0.47294
diff,2,0.53,1,2,2,4,0.48108
diff,2,0.53,1,0,1,4,0.48825
diff,2,0.47,1,2,4,4,0.51082
diff,2,0.47,1,-2,-3,6,0.58467
diff,2,0.47,1,0,3,4,0.48186
diff,2,0.53,0,-5,-5,1,0.35988
diff,2,0.53,0,2,3,4,0.47146
diff,2,0.47,0,1,3,3,0.43955
diff,2,0.47,0,-1,-3,3,0.44766
diff,2,0.47,1,0,2,2,0.39696
diff,2,0.53,1,4,4,2,0.36501
diff,2,0.53,1,3,4,1,0.35522
diff,2,0.47,0,0,1,2,0.37106
diff,2,0.53,0,4,4,2,0.36912
diff,2,0.47,0,-1,-2,1,0.36618
diff,2,0.53,0,0,2,2,0.39644
diff,2,0.47,0,-1,-2,3,0.43675
diff,2,0.53,0,0,2,2,0.39602
diff,2,0.53,0,-1,-2,1,0.37969
diff,2,0.47,0,3,3,3,0.43219
diff,2,0.53,0,3,3,1,0.39147
diff,2,0.53,0,2,2,2,0.39955
diff,2,0.47,0,2,2,2,0.38322
diff,2,0.47,0,2,2,2,0.44914
diff,2,0.47,1,0,2,2,0.40721
diff,2,0.47,1,3,3,3,0.44534
diff,2,0.53,1,0,2,2,0.45909
diff,2,0.47,0,-1,-2,1,0.34273
diff,2,0.47,0,-3,-3,3,0.22403
diff,2,0.47,0,1,2,1,0.34643
diff,2,0.53,0,-1,-1,3,0.25217
mix,1,0.25,1,-8,-8,4,0.47427
mix,1,0.25,1,-4,-4,6,0.58597
mix,1,0.25,1,0,1,6,0.58762
mix,1,0.25,1,-4,-4,2,0.38128
mix,1,0.53,1,0,2,4,0.51945
mix,1,0.75,0,4,4,6,0.59896
mix,1,0.53,0,1,3,11,0.80643
mix,1,0.25,1,-4,-5,4,0.5246
mix,1,0.25,1,-2,-4,6,0.59408
mix,1,0.53,1,2,2,4,0.49885
mix,1,0.53,0,-2,-2,4,0.51042
mix,1,0.47,0,2,3,4,0.53642
mix,1,0.75,1,-1,-3,3,0.45237
mix,1,0.53,0,3,3,3,0.47172
mix,1,0.53,0,6,6,4,0.4955
mix,1,0.53,0,2,3,4,0.49928
mix,1,0.53,1,-1,-4,7,0.69543
mix,1,0.75,0,4,4,4,0.51482
mix,1,0.47,0,0,4,8,0.66658
mix,1,0.53,1,0,2,4,0.54914
mix,1,0.25,1,-7,-7,3,0.46289
mix,1,0.47,0,-1,-4,15,1.0484
mix,1,0.47,0,3,4,5,0.63797
mix,1,0.25,1,-7,-7,7,0.67845
