condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.72,0,2,2,2,0.64173
1,1,0.28,1,-2,-2,2,0.6759
1,1,0.72,0,1,2,3,0.83316
1,1,0.72,0,2,2,4,1.1285
1,1,0.72,0,3,3,3,0.84456
1,1,0.28,1,-2,-2,4,1.1094
1,1,0.28,1,-2,-2,2,0.7165
1,1,0.28,1,-2,-2,2,0.63356
1,1,0.28,0,1,2,11,2.5537
1,1,0.28,1,-2,-2,2,0.64071
1,1,0.72,0,2,2,2,0.70224
1,1,0.28,0,2,2,4,1.1364
1,1,0.28,1,-1,-1,3,0.84142
1,1,0.28,1,-1,-2,3,0.82306
1,1,0.28,1,-2,-2,2,0.64012
1,1,0.72,1,-1,-1,3,0.86178
1,2,0.72,0,2,2,2,0.68053
1,2,0.72,0,1,1,1,0.43839
1,2,0.72,0,2,2,4,1.1364
1,2,0.72,0,1,1,1,0.49286
1,2,0.72,0,1,2,5,1.2806
1,2,0.28,1,-1,-1,3,0.91788
1,2,0.72,0,2,2,4,1.0998
1,2,0.28,1,-2,-2,4,1.0773
1,2,0.28,1,-2,-2,2,0.69095
1,2,0.72,1,-2,-2,4,1.1097
1,2,0.72,0,2,2,6,1.4746
1,2,0.28,1,-2,-2,2,0.71395
1,2,0.72,0,2,2,2,0.71622
1,2,0.72,1,-1,-1,3,0.89012
1,2,0.72,0,2,2,4,1.0747
1,2,0.72,0,2,2,4,1.1407
1,3,0.28,1,-1,-1,1,0.5015
1,3,0.28,0,1,1,1,0.47061
1,3,0.72,0,1,1,7,1.7021
1,3,0.28,1,-1,-1,1,0.47997
1,3,0.28,1,-1,-1,1,0.44567
1,3,0.72,0,2,2,4,1.0966
1,3,0.28,1,-3,-3,3,0.86704
1,3,0.72,1,-1,-1,1,0.45051
1,3,0.72,0,2,2,4,1.0614
1,3,0.28,1,-3,-3,3,0.93924
1,3,0.72,1,-1,-1,1,0.45663
1,3,0.72,0,4,4,10,2.2977
1,3,0.28,1,-4,-4,10,2.4082
1,3,0.28,1,-2,-2,2,0.67134
1,3,0.72,0,1,2,5,1.3425
1,3,0.72,0,2,2,2,0.68054
1,4,0.72,0,2,2,2,1.1885
1,4,0.28,1,-2,-2,2,0.69891
1,4,0.72,1,-1,-1,1,0.4255
1,4,0.72,0,2,2,2,0.66744
1,4,0.72,0,3,3,9,2.0825
1,4,0.28,1,-1,-1,1,0.47758
1,4,0.72,0,2,2,2,0.59499
1,4,0.28,1,-1,-1,5,1.3047
1,4,0.28,1,-3,-3,5,1.2159
1,4,0.28,0,2,2,2,0.59445
1,4,0.28,1,-2,-2,2,0.67133
1,4,0.28,0,2,2,2,0.63854
1,4,0.72,0,5,5,7,1.5706
1,4,0.72,0,3,3,9,2.1723
2,1,0.5,1,-3,-3,3,0.87817
2,1,0.5,0,3,3,3,0.86766
2,1,0.5,0,2,2,4,1.0273
2,1,0.5,1,-2,-2,2,0.66654
2,1,0.5,0,2,2,2,0.71078
2,1,0.5,0,2,2,4,1.1212
2,1,0.5,1,-3,-3,3,0.88732
2,1,0.5,0,1,1,3,0.87459
2,1,0.5,0,3,3,3,0.88677
2,1,0.5,0,2,2,2,0.62604
2,1,0.5,1,-1,-1,1,0.46902
2,1,0.5,1,-2,-2,6,1.516
2,1,0.5,1,-2,-2,2,0.67893
2,1,0.5,0,0,1,4,1.1037
2,1,0.5,1,-2,-2,4,1.1418
2,1,0.5,0,1,2,7,1.6466
2,2,0.5,1,-1,-1,1,0.50605
2,2,0.5,0,1,1,1,0.51302
2,2,0.5,1,-1,-1,1,0.42971
2,2,0.5,1,-1,-1,1,0.44536
2,2,0.5,1,-1,-1,1,0.49375
2,2,0.5,0,2,2,4,1.1129
2,2,0.5,0,2,2,2,0.65656
2,2,0.5,0,2,2,2,0.7108
2,2,0.5,0,1,1,1,0.4494
2,2,0.5,0,1,1,3,0.87316
2,3,0.5,1,-2,-2,2,0.70159
2,3,0.5,0,2,2,4,1.1034
2,3,0.5,1,-5,-5,7,1.6834
2,3,0.5,1,0,1,2,0.64032
2,3,0.5,1,-1,-1,1,0.45377
2,3,0.5,0,0,1,6,1.553
2,3,0.5,1,-3,-3,3,0.86461
2,3,0.5,0,1,1,1,0.45809
2,3,0.5,1,-3,-3,3,0.87244
2,3,0.5,1,0,1,6,1.4999
2,3,0.5,0,1,1,3,0.93769
2,3,0.5,1,-1,-1,1,0.4785
2,3,0.5,0,1,1,1,0.50643
2,4,0.5,0,0,1,2,1.1771
2,4,0.5,0,0,1,2,0.70442
2,4,0.5,1,-1,-1,3,1.3147
2,4,0.5,1,-1,-1,1,0.51381
2,4,0.5,0,-1,-1,5,1.2444
2,4,0.5,1,-4,-4,4,1.0774
2,4,0.5,0,0,1,2,0.69889
2,4,0.5,1,-2,-2,2,0.66036
2,4,0.5,0,1,1,3,0.91866
2,4,0.5,0,3,3,3,0.84371
2,4,0.5,1,1,1,3,0.87141
2,4,0.5,0,1,1,3,0.87336
2,4,0.5,1,-4,-4,4,1.1142
2,4,0.5,0,1,2,3,0.80721
3,1,0.28,0,1,1,1,0.41152
3,1,0.5,0,2,2,8,1.8476
3,1,0.5,1,-2,-2,2,0.70686
3,1,0.5,0,2,2,2,0.71108
3,1,0.28,1,-2,-2,2,0.63426
3,1,0.5,0,1,1,3,0.88154
3,1,0.28,0,2,2,2,0.63079
3,1,0.5,1,-3,-3,11,2.4386
3,1,0.28,1,-4,-4,4,1.0761
3,1,0.72,0,1,1,5,1.2493
3,1,0.28,1,-2,-2,4,1.0924
3,1,0.5,0,1,1,3,0.8885
3,1,0.5,0,3,3,5,1.324
3,1,0.5,1,-3,-3,9,2.0942
3,1,0.5,0,3,3,7,1.7486
3,2,0.5,0,1,1,1,0.50678
3,2,0.5,0,0,1,2,0.7149
3,2,0.5,1,-1,-1,1,0.42908
3,2,0.5,1,-1,-1,1,0.5092
3,2,0.5,1,-1,-1,1,0.41263
3,2,0.5,0,2,2,6,1.501
3,2,0.5,1,-1,-1,1,0.51017
3,2,0.28,0,-1,-1,3,0.84914
3,2,0.72,1,-2,-2,2,0.66065
3,2,0.28,1,-1,-1,1,0.49711
3,3,0.5,0,2,2,2,0.63163
