trial,condition,coherence,time,evidence,action,rt
1,1,0.72,1,1,0,5
1,1,0.72,2,2,0,5
1,1,0.72,3,3,0,5
1,1,0.72,4,4,0,5
1,1,0.72,5,5,1,5
2,1,0.28,1,1,0,3
2,1,0.28,2,2,0,3
2,1,0.28,3,3,1,3
3,1,0.72,1,1,0,4
3,1,0.72,2,2,0,4
3,1,0.72,3,3,0,4
3,1,0.72,4,4,1,4
4,1,0.72,1,-1,0,4
4,1,0.72,2,-0,0,4
4,1,0.72,3,1,0,4
4,1,0.72,4,2,1,4
5,1,0.72,1,1,0,8
5,1,0.72,2,2,0,8
5,1,0.72,3,3,0,8
5,1,0.72,4,4,0,8
5,1,0.72,5,3,0,8
5,1,0.72,6,4,0,8
5,1,0.72,7,5,0,8
5,1,0.72,8,6,1,8
6,1,0.28,1,1,0,3
6,1,0.28,2,2,0,3
6,1,0.28,3,3,1,3
7,1,0.72,1,1,0,7
7,1,0.72,2,2,0,7
7,1,0.72,3,3,0,7
7,1,0.72,4,4,0,7
7,1,0.72,5,3,0,7
7,1,0.72,6,4,0,7
7,1,0.72,7,3,1,7
8,1,0.28,1,1,0,5
8,1,0.28,2,2,0,5
8,1,0.28,3,3,0,5
8,1,0.28,4,2,0,5
8,1,0.28,5,3,1,5
9,1,0.28,1,1,0,3
9,1,0.28,2,2,0,3
9,1,0.28,3,3,1,3
10,1,0.72,1,1,0,4
10,1,0.72,2,-0,0,4
10,1,0.72,3,1,0,4
10,1,0.72,4,2,1,4
11,1,0.72,1,1,0,12
11,1,0.72,2,2,0,12
11,1,0.72,3,3,0,12
11,1,0.72,4,4,0,12
11,1,0.72,5,3,0,12
11,1,0.72,6,2,0,12
11,1,0.72,7,1,0,12
11,1,0.72,8,0,0,12
11,1,0.72,9,1,0,12
11,1,0.72,10,0,0,12
11,1,0.72,11,1,0,12
11,1,0.72,12,2,1,12
12,1,0.28,1,-1,0,6
12,1,0.28,2,-2,0,6
12,1,0.28,3,-1,0,6
12,1,0.28,4,-0,0,6
12,1,0.28,5,1,0,6
