condition,coherence,time,invtime,stimulus,decision
1,0.72,1,9,1,1
1,0.72,2,8,1,1
1,0.72,3,7,1,1
1,0.72,4,6,1,1
1,0.72,5,5,1,1
1,0.72,6,4,0,1
1,0.72,7,3,1,1
1,0.72,8,2,1,1
1,0.72,9,1,1,1
1,0.28,1,8,0,0
1,0.28,2,7,0,0
1,0.28,3,6,0,0
1,0.28,4,5,0,0
1,0.28,5,4,1,0
1,0.28,6,3,0,0
1,0.28,7,2,0,0
1,0.28,8,1,0,0
1,0.28,1,7,0,0
1,0.28,2,6,0,0
1,0.28,3,5,0,0
1,0.28,4,4,0,0
1,0.28,5,3,0,0
1,0.28,6,2,0,0
1,0.28,7,1,0,0
1,0.28,1,6,0,0
1,0.28,2,5,0,0
1,0.28,3,4,0,0
1,0.28,4,3,0,0
1,0.28,5,2,0,0
1,0.28,6,1,0,0
1,0.28,1,12,1,0
1,0.28,2,11,0,0
1,0.28,3,10,1,0
1,0.28,4,9,0,0
1,0.28,5,8,0,0
1,0.28,6,7,0,0
1,0.28,7,6,0,0
1,0.28,8,5,0,0
1,0.28,9,4,0,0
1,0.28,10,3,0,0
1,0.28,11,2,0,0
1,0.28,12,1,0,0
1,0.72,1,7,1,1
1,0.72,2,6,1,1
1,0.72,3,5,1,1
1,0.72,4,4,1,1
1,0.72,5,3,1,1
1,0.72,6,2,1,1
1,0.72,7,1,1,1
1,0.72,1,5,1,1
1,0.72,2,4,1,1
1,0.72,3,3,1,1
1,0.72,4,2,1,1
1,0.72,5,1,1,1
1,0.72,1,7,1,1
1,0.72,2,6,1,1
1,0.72,3,5,0,1
1,0.72,4,4,1,1
1,0.72,5,3,1,1
1,0.72,6,2,1,1
1,0.72,7,1,1,1
1,0.72,1,11,1,1
1,0.72,2,10,1,1
1,0.72,3,9,0,1
1,0.72,4,8,0,1
1,0.72,5,7,1,1
1,0.72,6,6,1,1
1,0.72,7,5,1,1
1,0.72,8,4,1,1
1,0.72,9,3,1,1
1,0.72,10,2,1,1
1,0.72,11,1,0,1
1,0.28,1,28,0,0
1,0.28,2,27,0,0
1,0.28,3,26,0,0
1,0.28,4,25,1,0
1,0.28,5,24,0,0
1,0.28,6,23,0,0
1,0.28,7,22,1,0
1,0.28,8,21,0,0
1,0.28,9,20,0,0
1,0.28,10,19,1,0
1,0.28,11,18,1,0
1,0.28,12,17,1,0
1,0.28,13,16,0,0
1,0.28,14,15,0,0
1,0.28,15,14,1,0
1,0.28,16,13,1,0
1,0.28,17,12,0,0
1,0.28,18,11,0,0
1,0.28,19,10,0,0
1,0.28,20,9,0,0
1,0.28,21,8,0,0
1,0.28,22,7,0,0
1,0.28,23,6,1,0
1,0.28,24,5,1,0
1,0.28,25,4,0,0
1,0.28,26,3,0,0
1,0.28,27,2,0,0
1,0.28,28,1,0,0
1,0.28,1,9,1,0
1,0.28,2,8,0,0
1,0.28,3,7,0,0
1,0.28,4,6,0,0
1,0.28,5,5,1,0
1,0.28,6,4,0,0
1,0.28,7,3,0,0
1,0.28,8,2,0,0
1,0.28,9,1,0,0
1,0.72,1,5,1,1
1,0.72,2,4,1,1
1,0.72,3,3,1,1
1,0.72,4,2,1,1
1,0.72,5,1,1,1
1,0.28,1,6,0,0
1,0.28,2,5,1,0
1,0.28,3,4,0,0
1,0.28,4,3,0,0
1,0.28,5,2,0,0
1,0.28,6,1,0,0
1,0.28,1,19,0,0
1,0.28,2,18,1,0
1,0.28,3,17,1,0
1,0.28,4,16,0,0
1,0.28,5,15,0,0
1,0.28,6,14,1,0
1,0.28,7,13,0,0
1,0.28,8,12,0,0
1,0.28,9,11,1,0
1,0.28,10,10,1,0
1,0.28,11,9,0,0
1,0.28,12,8,0,0
1,0.28,13,7,0,0
1,0.28,14,6,0,0
1,0.28,15,5,1,0
1,0.28,16,4,0,0
1,0.28,17,3,0,0
1,0.28,18,2,0,0
1,0.28,19,1,1,0
1,0.28,1,6,0,0
1,0.28,2,5,1,0
1,0.28,3,4,0,0
1,0.28,4,3,0,0
1,0.28,5,2,0,0
1,0.28,6,1,0,0
1,0.28,1,7,1,0
1,0.28,2,6,0,0
1,0.28,3,5,1,0
1,0.28,4,4,0,0
1,0.28,5,3,0,0
1,0.28,6,2,0,0
1,0.28,7,1,0,0
1,0.72,1,8,0,0
1,0.72,2,7,1,0
1,0.72,3,6,0,0
1,0.72,4,5,0,0
1,0.72,5,4,0,0
1,0.72,6,3,1,0
1,0.72,7,2,0,0
1,0.72,8,1,0,0
1,0.28,1,7,0,0
1,0.28,2,6,0,0
1,0.28,3,5,0,0
1,0.28,4,4,0,0
1,0.28,5,3,0,0
1,0.28,6,2,0,0
1,0.28,7,1,0,0
1,0.72,1,13,1,1
1,0.72,2,12,1,1
1,0.72,3,11,1,1
1,0.72,4,10,1,1
1,0.72,5,9,1,1
1,0.72,6,8,0,1
1,0.72,7,7,0,1
1,0.72,8,6,1,1
1,0.72,9,5,0,1
1,0.72,10,4,1,1
1,0.72,11,3,1,1
1,0.72,12,2,1,1
1,0.72,13,1,1,1
1,0.72,1,16,1,1
1,0.72,2,15,0,1
1,0.72,3,14,1,1
1,0.72,4,13,0,1
1,0.72,5,12,0,1
1,0.72,6,11,0,1
1,0.72,7,10,1,1
1,0.72,8,9,1,1
1,0.72,9,8,0,1
1,0.72,10,7,1,1
1,0.72,11,6,1,1
1,0.72,12,5,1,1
1,0.72,13,4,0,1
1,0.72,14,3,1,1
1,0.72,15,2,1,1
1,0.72,16,1,0,1
1,0.28,1,8,0,0
1,0.28,2,7,0,0
1,0.28,3,6,0,0
1,0.28,4,5,1,0
1,0.28,5,4,0,0
1,0.28,6,3,0,0
1,0.28,7,2,0,0
1,0.28,8,1,0,0
1,0.72,1,8,0,1
1,0.72,2,7,1,1
1,0.72,3,6,1,1
1,0.72,4,5,1,1
1,0.72,5,4,1,1
1,0.72,6,3,1,1
1,0.72,7,2,1,1
1,0.72,8,1,1,1
1,0.72,1,6,0,1
1,0.72,2,5,1,1
1,0.72,3,4,1,1
1,0.72,4,3,1,1
1,0.72,5,2,1,1
1,0.72,6,1,0,1
1,0.72,1,8,1,1
1,0.72,2,7,1,1
1,0.72,3,6,1,1
1,0.72,4,5,0,1
1,0.72,5,4,0,1
1,0.72,6,3,1,1
1,0.72,7,2,1,1
1,0.72,8,1,1,1
1,0.28,1,5,1,1
1,0.28,2,4,1,1
1,0.28,3,3,0,1
1,0.28,4,2,1,1
1,0.28,5,1,0,1
1,0.28,1,6,0,0
1,0.28,2,5,0,0
1,0.28,3,4,0,0
1,0.28,4,3,0,0
1,0.28,5,2,0,0
1,0.28,6,1,0,0
1,0.72,1,18,0,1
1,0.72,2,17,0,1
1,0.72,3,16,1,1
1,0.72,4,15,1,1
1,0.72,5,14,1,1
