condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.72,0,2,3,6,0.56393
1,1,0.72,0,2,3,4,0.50163
1,1,0.28,0,-1,-1,7,0.64388
1,1,0.72,0,4,4,4,0.49376
1,1,0.72,0,4,4,8,0.66165
1,1,0.28,1,-1,-3,7,0.65947
1,1,0.28,1,0,2,8,0.68075
1,1,0.72,0,3,3,5,0.54728
1,1,0.28,1,-4,-4,4,0.51061
1,1,0.72,0,3,3,5,0.58617
1,1,0.28,1,-3,-3,7,0.64625
1,1,0.28,1,-2,-2,2,0.43046
1,1,0.28,1,-3,-3,3,0.45029
1,1,0.72,0,3,3,3,0.43454
1,1,0.72,0,2,2,2,0.42216
1,1,0.72,0,2,2,2,0.41198
1,1,0.72,0,2,2,2,0.41179
1,1,0.28,1,-3,-3,5,0.5818
1,1,0.72,0,0,1,2,0.42722
1,1,0.28,1,-1,-2,5,0.54376
1,1,0.28,0,2,2,2,0.41357
1,1,0.28,1,-3,-3,3,0.46121
1,1,0.28,1,-1,-2,3,0.44327
1,1,0.72,0,2,2,2,0.42088
1,1,0.28,1,-1,-2,3,0.47417
1,1,0.72,0,2,2,2,0.39838
1,1,0.72,0,2,2,2,0.40818
1,1,0.28,1,-1,-1,5,0.6082
1,1,0.72,0,1,1,1,0.34452
1,1,0.72,0,2,2,2,0.40554
1,1,0.72,0,3,3,5,0.55208
1,1,0.28,1,-2,-2,2,0.4275
1,1,0.28,1,-3,-3,5,0.53525
1,1,0.28,1,-1,-1,5,0.52736
1,1,0.72,0,2,2,4,0.55954
1,1,0.72,0,1,2,3,0.41715
1,2,0.28,1,-1,-1,5,0.5582
1,2,0.28,1,-3,-3,3,0.48029
1,2,0.72,0,1,1,3,0.41792
1,2,0.28,0,1,1,5,0.56787
1,2,0.28,1,-3,-3,5,0.56005
1,2,0.72,0,3,3,3,0.44773
1,2,0.28,1,-2,-2,2,0.4241
1,2,0.72,0,2,2,2,0.43736
1,2,0.72,1,1,2,5,0.5439
1,2,0.28,1,-2,-2,2,0.44593
1,2,0.28,1,-1,-2,5,0.56592
1,2,0.72,0,3,3,3,0.44476
1,2,0.28,1,-2,-2,2,0.42338
1,2,0.72,0,1,1,1,0.39658
1,2,0.28,1,-1,-2,3,0.43082
1,2,0.28,0,2,2,2,0.41062
1,2,0.72,0,2,2,2,0.42703
1,2,0.72,0,2,2,2,0.40685
1,2,0.72,0,2,2,2,0.40667
1,2,0.28,1,-2,-2,2,0.41431
1,2,0.28,1,-2,-2,2,0.3897
1,2,0.28,1,-1,-1,1,0.38607
1,2,0.72,0,1,1,1,0.35804
1,2,0.28,1,-1,-1,1,0.3678
1,2,0.28,1,-1,-1,1,0.37541
1,2,0.72,0,1,1,1,0.35954
1,2,0.28,1,0,1,4,0.5207
1,2,0.28,1,-2,-2,2,0.41924
1,2,0.72,0,3,3,3,0.42472
1,2,0.72,0,1,1,1,0.3745
1,2,0.72,0,1,1,3,0.47095
1,2,0.72,0,3,3,3,0.44298
1,2,0.28,1,-2,-2,2,0.42063
1,2,0.72,1,1,1,3,0.43387
1,2,0.72,0,2,2,2,0.41465
1,2,0.72,0,1,1,1,0.40565
1,2,0.72,0,2,2,2,0.38206
1,3,0.28,1,-4,-4,4,0.49516
1,3,0.28,1,-3,-3,3,0.47063
1,3,0.72,0,3,3,5,0.59501
1,3,0.28,1,-3,-3,3,0.44704
1,3,0.72,0,0,1,2,0.39808
1,3,0.72,1,1,1,7,0.66472
1,3,0.72,0,3,3,7,0.61473
1,3,0.28,1,-1,-2,5,0.60595
1,3,0.28,1,-4,-4,6,0.62253
1,3,0.72,1,1,1,5,0.5315
1,3,0.72,0,3,3,3,0.46139
1,3,0.72,0,3,3,7,0.71366
1,3,0.28,1,-3,-3,9,0.726
1,3,0.28,1,-2,-2,2,0.45363
1,3,0.28,1,-2,-2,2,0.42908
1,3,0.28,1,-1,-2,3,0.43332
1,3,0.28,1,-2,-2,4,0.57328
1,3,0.28,1,-3,-3,5,0.61327
1,3,0.72,0,3,3,3,0.44433
1,3,0.28,0,1,1,5,0.62217
1,3,0.72,0,2,2,2,0.43638
1,3,0.72,0,2,2,2,0.42181
1,3,0.28,1,-1,-2,3,0.47607
1,3,0.28,0,2,2,4,0.54162
1,3,0.72,0,2,2,2,0.44368
1,3,0.72,1,-1,-2,5,0.57366
1,3,0.28,0,2,2,6,0.64588
1,3,0.72,0,2,2,2,0.41349
1,3,0.28,1,-2,-2,4,0.51681
1,3,0.72,0,1,1,3,0.47107
1,3,0.72,0,2,2,2,0.42751
1,3,0.28,1,-2,-3,4,0.46323
1,3,0.72,0,3,3,5,0.54853
1,3,0.28,1,-2,-2,2,0.42494
1,3,0.28,1,-3,-3,5,0.53486
1,3,0.72,0,3,3,7,0.64613
1,4,0.72,0,2,2,4,0.54156
1,4,0.28,1,-3,-3,3,0.44362
1,4,0.72,0,2,2,2,0.39001
1,4,0.28,1,-2,-2,2,0.40201
1,4,0.28,1,-2,-2,4,0.50752
1,4,0.28,1,-3,-3,3,0.43175
1,4,0.72,0,2,2,2,0.41938
1,4,0.28,1,-1,-1,1,0.39259
1,4,0.72,0,-1,-2,5,0.56473
1,4,0.28,1,-2,-2,2,0.42236
1,4,0.72,1,-1,-1,3,0.47662
1,4,0.28,1,-3,-3,5,0.53438
1,4,0.72,0,1,1,1,0.39856
1,4,0.72,0,0,1,2,0.44058
1,4,0.28,1,0,1,2,0.44167
1,4,0.72,1,-1,-1,1,0.38023
1,4,0.28,1,-1,-1,1,0.38561
1,4,0.72,0,1,1,3,0.49334
1,4,0.72,0,1,1,1,0.3731
1,4,0.28,1,-2,-2,2,0.41294
