trial,condition,coherence,time,evidence,action,rt
1,1,0.72,1,-1,0,6
1,1,0.72,2,0,0,6
1,1,0.72,3,1,0,6
1,1,0.72,4,2,0,6
1,1,0.72,5,3,0,6
1,1,0.72,6,2,1,6
2,1,0.72,1,1,0,4
2,1,0.72,2,2,0,4
2,1,0.72,3,3,0,4
2,1,0.72,4,2,1,4
3,1,0.28,1,1,0,7
3,1,0.28,2,2,0,7
3,1,0.28,3,1,0,7
3,1,0.28,4,2,0,7
3,1,0.28,5,1,0,7
3,1,0.28,6,0,0,7
3,1,0.28,7,-1,1,7
4,1,0.72,1,1,0,4
4,1,0.72,2,2,0,4
4,1,0.72,3,3,0,4
4,1,0.72,4,4,1,4
5,1,0.72,1,1,0,8
5,1,0.72,2,0,0,8
5,1,0.72,3,1,0,8
5,1,0.72,4,0,0,8
5,1,0.72,5,1,0,8
5,1,0.72,6,2,0,8
5,1,0.72,7,3,0,8
5,1,0.72,8,4,1,8
6,1,0.28,1,1,0,7
6,1,0.28,2,-0,0,7
6,1,0.28,3,1,0,7
6,1,0.28,4,2,0,7
6,1,0.28,5,3,0,7
6,1,0.28,6,2,0,7
6,1,0.28,7,1,1,7
7,1,0.28,1,-1,0,8
7,1,0.28,2,-0,0,8
7,1,0.28,3,1,0,8
7,1,0.28,4,-0,0,8
7,1,0.28,5,1,0,8
7,1,0.28,6,2,0,8
7,1,0.28,7,1,0,8
7,1,0.28,8,-0,1,8
8,1,0.72,1,1,0,5
8,1,0.72,2,0,0,5
8,1,0.72,3,1,0,5
8,1,0.72,4,2,0,5
8,1,0.72,5,3,1,5
9,1,0.28,1,1,0,4
9,1,0.28,2,2,0,4
9,1,0.28,3,3,0,4
9,1,0.28,4,4,1,4
10,1,0.72,1,1,0,5
10,1,0.72,2,2,0,5
10,1,0.72,3,1,0,5
10,1,0.72,4,2,0,5
10,1,0.72,5,3,1,5
11,1,0.28,1,1,0,7
11,1,0.28,2,-0,0,7
11,1,0.28,3,-1,0,7
11,1,0.28,4,-0,0,7
11,1,0.28,5,1,0,7
11,1,0.28,6,2,0,7
11,1,0.28,7,3,1,7
12,1,0.28,1,1,0,2
12,1,0.28,2,2,1,2
13,1,0.28,1,1,0,3
13,1,0.28,2,2,0,3
13,1,0.28,3,3,1,3
14,1,0.72,1,1,0,3
14,1,0.72,2,2,0,3
14,1,0.72,3,3,1,3
15,1,0.72,1,1,0,2
15,1,0.72,2,2,1,2
16,1,0.72,1,1,0,2
16,1,0.72,2,2,1,2
17,1,0.72,1,1,0,2
17,1,0.72,2,2,1,2
18,1,0.28,1,1,0,5
18,1,0.28,2,2,0,5
18,1,0.28,3,1,0,5
18,1,0.28,4,2,0,5
18,1,0.28,5,3,1,5
19,1,0.72,1,1,0,2
19,1,0.72,2,0,1,2
20,1,0.28,1,-1,0,5
20,1,0.28,2,-0,0,5
20,1,0.28,3,1,0,5
20,1,0.28,4,2,0,5
20,1,0.28,5,1,1,5
21,1,0.28,1,1,0,2
21,1,0.28,2,2,1,2
22,1,0.28,1,1,0,3
22,1,0.28,2,2,0,3
22,1,0.28,3,3,1,3
23,1,0.28,1,1,0,3
23,1,0.28,2,2,0,3
23,1,0.28,3,1,1,3
24,1,0.72,1,1,0,2
24,1,0.72,2,2,1,2
25,1,0.28,1,1,0,3
25,1,0.28,2,2,0,3
25,1,0.28,3,1,1,3
26,1,0.72,1,1,0,2
26,1,0.72,2,2,1,2
27,1,0.72,1,1,0,2
27,1,0.72,2,2,1,2
28,1,0.28,1,1,0,5
28,1,0.28,2,-0,0,5
28,1,0.28,3,-1,0,5
28,1,0.28,4,-0,0,5
28,1,0.28,5,1,1,5
29,1,0.72,1,1,1,1
30,1,0.72,1,1,0,2
30,1,0.72,2,2,1,2
31,1,0.72,1,1,0,5
31,1,0.72,2,0,0,5
31,1,0.72,3,1,0,5
31,1,0.72,4,2,0,5
31,1,0.72,5,3,1,5
32,1,0.28,1,1,0,2
32,1,0.28,2,2,1,2
33,1,0.28,1,1,0,5
33,1,0.28,2,-0,0,5
33,1,0.28,3,1,0,5
33,1,0.28,4,2,0,5
33,1,0.28,5,3,1,5
34,1,0.28,1,1,0,5
34,1,0.28,2,-0,0,5
34,1,0.28,3,1,0,5
34,1,0.28,4,-0,0,5
34,1,0.28,5,1,1,5
35,1,0.72,1,1,0,4
35,1,0.72,2,0,0,4
35,1,0.72,3,1,0,4
35,1,0.72,4,2,1,4
36,1,0.72,1,1,0,3
36,1,0.72,2,2,0,3
36,1,0.72,3,1,1,3
37,1,0.28,1,-1,0,5
37,1,0.28,2,-0,0,5
37,1,0.28,3,1,0,5
37,1,0.28,4,-0,0,5
37,1,0.28,5,1,1,5
38,1,0.28,1,1,0,3
38,1,0.28,2,2,0,3
38,1,0.28,3,3,1,3
39,1,0.72,1,1,0,3
39,1,0.72,2,0,0,3
39,1,0.72,3,1,1,3
40,1,0.28,1,1,0,5
40,1,0.28,2,0,0,5
40,1,0.28,3,1,0,5
40,1,0.28,4,0,0,5
40,1,0.28,5,1,1,5
41,1,0.28,1,1,0,5
41,1,0.28,2,-0,0,5
41,1,0.28,3,1,0,5
41,1,0.28,4,2,0,5
41,1,0.28,5,3,1,5
42,1,0.72,1,1,0,3
42,1,0.72,2,2,0,3
42,1,0.72,3,3,1,3
43,1,0.28,1,1,0,2
43,1,0.28,2,2,1,2
44,1,0.72,1,1,0,2
44,1,0.72,2,2,1,2
45,1,0.72,1,1,0,5
45,1,0.72,2,-0,0,5
45,1,0.72,3,-1,0,5
45,1,0.72,4,-2,0,5
45,1,0.72,5,-1,1,5
46,1,0.28,1,1,0,2
46,1,0.28,2,2,1,2
47,1,0.28,1,1,0,5
47,1,0.28,2,-0,0,5
47,1,0.28,3,1,0,5
47,1,0.28,4,2,0,5
47,1,0.28,5,1,1,5
48,1,0.72,1,1,0,3
48,1,0.72,2,2,0,3
48,1,0.72,3,3,1,3
49,1,0.28,1,1,0,2
49,1,0.28,2,2,1,2
50,1,0.72,1,1,1,1
51,1,0.28,1,1,0,3
51,1,0.28,2,2,0,3
51,1,0.28,3,1,1,3
52,1,0.28,1,1,0,2
52,1,0.28,2,2,1,2
53,1,0.72,1,1,0,2
53,1,0.72,2,2,1,2
54,1,0.72,1,1,0,2
54,1,0.72,2,2,1,2
55,1,0.72,1,1,0,2
55,1,0.72,2,2,1,2
56,1,0.28,1,1,0,2
56,1,0.28,2,2,1,2
57,1,0.28,1,1,0,2
57,1,0.28,2,2,1,2
58,1,0.28,1,1,1,1
59,1,0.72,1,1,1,1
60,1,0.28,1,1,1,1
61,1,0.28,1,1,1,1
62,1,0.72,1,1,1,1
63,1,0.28,1,1,0,4
63,1,0.28,2,-0,0,4
63,1,0.28,3,-1,0,4
63,1,0.28,4,-0,1,4
64,1,0.28,1,1,0,2
64,1,0.28,2,2,1,2
65,1,0.72,1,1,0,3
65,1,0.72,2,2,0,3
65,1,0.72,3,3,1,3
66,1,0.72,1,1,1,1
67,1,0.72,1,1,0,3
67,1,0.72,2,0,0,3
67,1,0.72,3,1,1,3
68,1,0.72,1,1,0,3
68,1,0.72,2,2,0,3
68,1,0.72,3,3,1,3
69,1,0.28,1,1,0,2
69,1,0.28,2,2,1,2
70,1,0.72,1,1,0,3
70,1,0.72,2,-0,0,3
70,1,0.72,3,-1,1,3
71,1,0.72,1,1,0,2
71,1,0.72,2,2,1,2
72,1,0.72,1,1,1,1
73,1,0.72,1,1,0,2
73,1,0.72,2,2,1,2
74,1,0.28,1,1,0,4
74,1,0.28,2,2,0,4
74,1,0.28,3,3,0,4
74,1,0.28,4,4,1,4
75,1,0.28,1,1,0,3
75,1,0.28,2,2,0,3
75,1,0.28,3,3,1,3
76,1,0.72,1,-1,0,5
76,1,0.72,2,0,0,5
76,1,0.72,3,1,0,5
76,1,0.72,4,2,0,5
76,1,0.72,5,3,1,5
77,1,0.28,1,1,0,3
77,1,0.28,2,2,0,3
77,1,0.28,3,3,1,3
78,1,0.72,1,1,0,2
78,1,0.72,2,0,1,2
79,1,0.72,1,1,0,7
79,1,0.72,2,-0,0,7
79,1,0.72,3,1,0,7
79,1,0.72,4,-0,0,7
79,1,0.72,5,-1,0,7
79,1,0.72,6,-0,0,7
79,1,0.72,7,-1,1,7
80,1,0.72,1,1,0,7
80,1,0.72,2,0,0,7
80,1,0.72,3,1,0,7
80,1,0.72,4,0,0,7
80,1,0.72,5,1,0,7
80,1,0.72,6,2,0,7
80,1,0.72,7,3,1,7
81,1,0.28,1,1,0,5
81,1,0.28,2,2,0,5
81,1,0.28,3,1,0,5
81,1,0.28,4,2,0,5
81,1,0.28,5,1,1,5
82,1,0.28,1,1,0,6
82,1,0.28,2,-0,0,6
82,1,0.28,3,1,0,6
82,1,0.28,4,2,0,6
82,1,0.28,5,3,0,6
82,1,0.28,6,4,1,6
83,1,0.72,1,1,0,5
83,1,0.72,2,2,0,5
83,1,0.72,3,1,0,5
83,1,0.72,4,-0,0,5
83,1,0.72,5,-1,1,5
84,1,0.72,1,1,0,3
84,1,0.72,2,2,0,3
84,1,0.72,3,3,1,3
85,1,0.72,1,-1,0,7
85,1,0.72,2,0,0,7
85,1,0.72,3,1,0,7
85,1,0.72,4,2,0,7
85,1,0.72,5,1,0,7
85,1,0.72,6,2,0,7
85,1,0.72,7,3,1,7
86,1,0.28,1,-1,0,9
86,1,0.28,2,-0,0,9
86,1,0.28,3,1,0,9
86,1,0.28,4,-0,0,9
86,1,0.28,5,-1,0,9
86,1,0.28,6,-0,0,9
86,1,0.28,7,1,0,9
86,1,0.28,8,2,0,9
86,1,0.28,9,3,1,9
87,1,0.28,1,1,0,2
87,1,0.28,2,2,1,2
88,1,0.28,1,1,0,2
88,1,0.28,2,2,1,2
89,1,0.28,1,1,0,3
89,1,0.28,2,2,0,3
89,1,0.28,3,1,1,3
90,1,0.28,1,-1,0,4
90,1,0.28,2,-0,0,4
90,1,0.28,3,1,0,4
90,1,0.28,4,2,1,4
91,1,0.28,1,1,0,5
91,1,0.28,2,2,0,5
91,1,0.28,3,1,0,5
91,1,0.28,4,2,0,5
91,1,0.28,5,3,1,5
92,1,0.72,1,1,0,3
92,1,0.72,2,2,0,3
92,1,0.72,3,3,1,3
93,1,0.28,1,1,0,5
93,1,0.28,2,0,0,5
93,1,0.28,3,1,0,5
93,1,0.28,4,0,0,5
93,1,0.28,5,1,1,5
94,1,0.72,1,1,0,2
94,1,0.72,2,2,1,2
95,1,0.72,1,1,0,2
95,1,0.72,2,2,1,2
96,1,0.28,1,1,0,3
96,1,0.28,2,2,0,3
96,1,0.28,3,1,1,3
97,1,0.28,1,-1,0,4
97,1,0.28,2,0,0,4
97,1,0.28,3,1,0,4
97,1,0.28,4,2,1,4
98,1,0.72,1,1,0,2
98,1,0.72,2,2,1,2
99,1,0.72,1,1,0,5
99,1,0.72,2,-0,0,5
99,1,0.72,3,1,0,5
99,1,0.72,4,2,0,5
99,1,0.72,5,1,1,5
100,1,0.28,1,1,0,6
100,1,0.28,2,0,0,6
100,1,0.28,3,1,0,6
100,1,0.28,4,0,0,6
100,1,0.28,5,1,0,6
100,1,0.28,6,2,1,6
101,1,0.72,1,1,0,2
101,1,0.72,2,2,1,2
102,1,0.28,1,1,0,4
102,1,0.28,2,-0,0,4
102,1,0.28,3,1,0,4
102,1,0.28,4,2,1,4
103,1,0.72,1,1,0,3
103,1,0.72,2,0,0,3
103,1,0.72,3,1,1,3
104,1,0.72,1,1,0,2
104,1,0.72,2,2,1,2
105,1,0.28,1,1,0,4
105,1,0.28,2,2,0,4
105,1,0.28,3,3,0,4
105,1,0.28,4,2,1,4
106,1,0.72,1,1,0,5
106,1,0.72,2,0,0,5
106,1,0.72,3,1,0,5
106,1,0.72,4,2,0,5
106,1,0.72,5,3,1,5
107,1,0.28,1,1,0,2
107,1,0.28,2,2,1,2
108,1,0.28,1,-1,0,5
108,1,0.28,2,-0,0,5
108,1,0.28,3,1,0,5
108,1,0.28,4,2,0,5
108,1,0.28,5,3,1,5
109,1,0.72,1,1,0,7
109,1,0.72,2,0,0,7
109,1,0.72,3,-1,0,7
109,1,0.72,4,0,0,7
109,1,0.72,5,1,0,7
109,1,0.72,6,2,0,7
109,1,0.72,7,3,1,7
110,1,0.72,1,-1,0,4
110,1,0.72,2,0,0,4
110,1,0.72,3,1,0,4
110,1,0.72,4,2,1,4
111,1,0.28,1,1,0,3
111,1,0.28,2,2,0,3
111,1,0.28,3,3,1,3
112,1,0.72,1,1,0,2
112,1,0.72,2,2,1,2
113,1,0.28,1,1,0,2
113,1,0.28,2,2,1,2
114,1,0.28,1,-1,0,4
114,1,0.28,2,-0,0,4
114,1,0.28,3,1,0,4
114,1,0.28,4,2,1,4
115,1,0.28,1,1,0,3
115,1,0.28,2,2,0,3
115,1,0.28,3,3,1,3
116,1,0.72,1,1,0,2
