condition,coherence,time,invtime,stimulus,decision
1,0.72,1,11,1,1
1,0.72,2,10,0,1
1,0.72,3,9,1,1
1,0.72,4,8,0,1
1,0.72,5,7,0,1
1,0.72,6,6,1,1
1,0.72,7,5,1,1
1,0.72,8,4,1,1
1,0.72,9,3,1,1
1,0.72,10,2,1,1
1,0.72,11,1,0,1
1,0.72,1,5,1,1
1,0.72,2,4,1,1
1,0.72,3,3,1,1
1,0.72,4,2,1,1
1,0.72,5,1,1,1
1,0.72,1,7,1,1
1,0.72,2,6,1,1
1,0.72,3,5,0,1
1,0.72,4,4,1,1
1,0.72,5,3,1,1
1,0.72,6,2,1,1
1,0.72,7,1,0,1
1,0.28,1,10,1,0
1,0.28,2,9,0,0
1,0.28,3,8,0,0
1,0.28,4,7,1,0
1,0.28,5,6,0,0
1,0.28,6,5,1,0
1,0.28,7,4,0,0
1,0.28,8,3,0,0
1,0.28,9,2,1,0
1,0.28,10,1,0,0
1,0.28,1,10,0,1
1,0.28,2,9,1,1
1,0.28,3,8,0,1
1,0.28,4,7,0,1
1,0.28,5,6,1,1
1,0.28,6,5,1,1
1,0.28,7,4,1,1
1,0.28,8,3,0,1
1,0.28,9,2,0,1
1,0.28,10,1,1,1
1,0.72,1,5,0,0
1,0.72,2,4,1,0
1,0.72,3,3,0,0
1,0.72,4,2,0,0
1,0.72,5,1,0,0
1,0.72,1,5,1,1
1,0.72,2,4,1,1
1,0.72,3,3,0,1
1,0.72,4,2,1,1
1,0.72,5,1,1,1
2,0.5,1,10,0,1
2,0.5,2,9,1,1
2,0.5,3,8,0,1
2,0.5,4,7,1,1
2,0.5,5,6,1,1
2,0.5,6,5,1,1
2,0.5,7,4,1,1
2,0.5,8,3,0,1
2,0.5,9,2,0,1
2,0.5,10,1,0,1
2,0.5,1,6,0,1
2,0.5,2,5,1,1
2,0.5,3,4,1,1
2,0.5,4,3,0,1
2,0.5,5,2,0,1
2,0.5,6,1,1,1
2,0.5,1,22,1,0
2,0.5,2,21,1,0
2,0.5,3,20,1,0
2,0.5,4,19,1,0
2,0.5,5,18,0,0
2,0.5,6,17,1,0
2,0.5,7,16,0,0
2,0.5,8,15,1,0
2,0.5,9,14,0,0
2,0.5,10,13,0,0
2,0.5,11,12,0,0
2,0.5,12,11,0,0
2,0.5,13,10,0,0
2,0.5,14,9,1,0
2,0.5,15,8,1,0
2,0.5,16,7,0,0
2,0.5,17,6,1,0
2,0.5,18,5,0,0
2,0.5,19,4,1,0
2,0.5,20,3,1,0
2,0.5,21,2,0,0
2,0.5,22,1,1,0
3,0.5,1,10,1,0
3,0.5,2,9,1,0
3,0.5,3,8,0,0
3,0.5,4,7,1,0
3,0.5,5,6,0,0
3,0.5,6,5,1,0
3,0.5,7,4,0,0
3,0.5,8,3,0,0
3,0.5,9,2,1,0
3,0.5,10,1,0,0
3,0.28,1,6,0,1
3,0.28,2,5,1,1
3,0.28,3,4,1,1
3,0.28,4,3,1,1
3,0.28,5,2,0,1
3,0.28,6,1,0,1
3,0.5,1,9,1,1
3,0.5,2,8,1,1
3,0.5,3,7,0,1
3,0.5,4,6,1,1
3,0.5,5,5,1,1
3,0.5,6,4,0,1
3,0.5,7,3,1,1
3,0.5,8,2,0,1
3,0.5,9,1,0,1
3,0.28,1,5,0,0
3,0.28,2,4,0,0
3,0.28,3,3,1,0
3,0.28,4,2,0,0
3,0.28,5,1,0,0
