condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.1,1,-5,-5,7,0.64056
1,1,0.9,0,3,3,3,0.44258
1,1,0.9,0,3,3,3,0.45019
1,1,0.1,1,-3,-3,3,0.44999
1,1,0.1,1,-2,-2,2,0.41763
1,1,0.9,0,2,2,2,0.39956
1,1,0.9,0,2,2,2,0.40938
1,1,0.1,1,-3,-3,3,0.44917
1,1,0.1,1,-4,-4,6,0.63353
1,1,0.1,1,-3,-3,3,0.46684
1,1,0.1,1,-3,-3,11,0.94269
1,1,0.9,0,3,3,5,0.59484
1,1,0.9,0,1,1,1,0.37238
1,1,0.9,0,2,2,2,0.44222
1,1,0.1,1,-2,-2,2,0.43424
1,1,0.1,1,-2,-2,2,0.4284
1,1,0.1,1,-2,-2,2,0.43941
1,1,0.9,0,2,2,2,0.40924
1,1,0.1,1,-2,-2,2,0.40901
1,1,0.9,0,2,2,2,0.41757
1,1,0.1,1,-1,-1,3,0.49522
1,1,0.9,0,4,4,6,0.63741
1,1,0.9,0,2,2,2,0.42282
1,1,0.1,1,-2,-2,2,0.41821
1,1,0.9,0,2,2,2,0.40019
1,1,0.9,0,2,2,2,0.45005
1,1,0.9,0,2,2,2,0.41858
1,2,0.1,1,-5,-5,7,0.6491
1,2,0.1,1,-4,-4,4,0.49676
1,2,0.9,0,3,3,3,0.44656
1,2,0.1,1,-5,-5,9,0.78231
1,2,0.9,0,3,3,3,0.44993
1,2,0.9,0,5,5,7,0.69784
1,2,0.1,1,-5,-5,7,0.69564
1,2,0.9,0,4,4,4,0.50992
1,2,0.1,1,-5,-5,7,0.72121
1,2,0.9,0,5,5,5,0.60119
1,2,0.1,1,-5,-5,7,0.75346
1,2,0.9,0,3,3,3,0.48333
1,2,0.1,1,-6,-6,6,0.65114
1,2,0.9,0,3,3,3,0.49665
1,2,0.9,0,4,4,4,0.52654
1,2,0.9,0,2,2,2,0.43852
1,2,0.1,1,-2,-2,2,0.40832
1,2,0.9,0,2,2,2,0.44033
1,2,0.9,0,4,4,6,0.65815
1,2,0.1,1,-3,-3,3,0.45575
1,2,0.1,1,-2,-2,2,0.42115
1,2,0.1,1,-2,-2,2,0.44877
1,2,0.1,1,-6,-6,8,0.78553
1,2,0.1,1,-4,-4,4,0.55665
1,2,0.1,1,-4,-4,14,1.1183
1,2,0.9,0,5,5,7,0.65614
1,3,0.9,0,4,4,4,0.50589
1,3,0.9,0,2,2,2,0.39688
1,3,0.9,0,4,4,10,0.83147
1,3,0.9,0,4,4,6,0.63269
1,3,0.9,0,4,4,6,0.61826
1,3,0.9,0,3,3,3,0.48029
1,3,0.1,1,-3,-3,3,0.46673
1,3,0.9,0,2,2,2,0.42995
1,3,0.1,1,-6,-6,10,0.90581
1,3,0.9,0,5,5,15,1.1819
1,3,0.1,1,-2,-2,2,0.44986
1,3,0.1,1,-4,-4,6,0.64175
1,3,0.1,1,-4,-4,6,0.64077
1,3,0.9,0,2,2,2,0.44059
1,3,0.1,1,-2,-2,2,0.4514
1,3,0.1,1,-2,-2,2,0.43242
1,3,0.9,0,3,3,7,0.7303
1,3,0.9,0,2,2,2,0.41007
1,3,0.1,1,-3,-3,3,0.4665
1,3,0.9,0,1,1,1,0.38188
1,3,0.1,1,-1,-1,1,0.3782
1,3,0.9,0,1,1,1,0.33572
1,3,0.1,1,-2,-2,2,0.43775
1,3,0.9,0,3,3,5,0.56767
1,3,0.9,0,2,2,2,0.38303
1,3,0.1,1,-3,-3,7,0.65866
1,4,0.9,0,4,4,8,0.71395
1,4,0.1,1,-3,-3,3,0.46806
1,4,0.1,1,-3,-3,3,0.47912
1,4,0.9,0,3,3,3,0.44894
1,4,0.1,1,-3,-3,5,0.5767
1,4,0.9,0,2,2,2,0.44748
1,4,0.9,0,3,3,3,0.48635
1,4,0.1,1,-1,-1,1,0.39832
1,4,0.1,1,-2,-2,2,0.44034
1,4,0.9,0,2,2,2,0.43452
1,4,0.1,1,-2,-2,2,0.41993
1,4,0.9,0,2,2,2,0.43413
1,4,0.1,1,-3,-3,5,0.59628
1,4,0.9,0,3,3,3,0.46171
1,4,0.9,0,2,2,2,0.44935
1,4,0.9,0,3,3,5,0.60152
1,4,0.9,0,3,3,3,0.46476
1,4,0.9,0,2,2,2,0.42895
1,4,0.9,0,2,2,2,0.44096
1,4,0.1,1,-3,-3,3,0.47301
1,4,0.1,1,-3,-3,3,0.47409
1,4,0.9,0,3,3,5,0.55619
1,4,0.1,1,-2,-2,2,0.40596
1,4,0.9,0,2,2,2,0.43016
1,4,0.1,1,-2,-2,2,0.40994
1,4,0.1,1,-3,-3,3,0.44194
2,1,0.6,0,4,4,20,1.2969
2,1,0.4,0,-1,-2,23,1.4466
2,1,0.4,1,-2,-2,8,0.68666
2,1,0.4,1,-5,-5,7,0.60564
2,1,0.6,0,4,5,8,0.66225
2,1,0.6,0,4,4,4,0.50556
2,1,0.4,1,-1,-2,7,0.62992
2,1,0.4,1,-1,-2,31,1.8257
2,1,0.4,1,-5,-5,7,0.63687
2,1,0.4,0,5,5,15,1.0385
2,1,0.6,0,7,7,9,0.73638
2,1,0.4,0,-2,-3,14,0.9823
2,1,0.6,1,-2,-2,8,0.69015
2,1,0.6,0,3,4,9,0.79373
2,1,0.4,1,-5,-6,13,1.0119
2,1,0.4,1,-3,-4,11,0.92994
2,1,0.4,0,1,1,21,1.4898
2,1,0.6,0,6,6,8,0.7533
