condition,coherence,s1,s2,s3,s4,s5,r1,r2,r3,r4,r5,decision
1,0.1,1,0,0,0,0,0,0,0,0,0,0
1,0.9,1,1,0,1,1,1,1,1,0,1,1
1,0.1,1,0,0,0,0,0,0,0,0,1,0
1,0.9,1,1,0,1,1,1,1,0,1,1,1
1,0.9,1,1,0,1,1,1,1,1,0,1,1
1,0.9,0,1,1,1,0,1,0,1,1,1,1
1,0.1,0,1,0,1,0,0,1,0,1,0,0
2,0.4,0,1,0,1,0,0,1,0,1,0,0
2,0.6,0,1,1,1,0,0,1,0,0,1,0
2,0.6,0,1,1,0,1,1,0,1,1,0,1
2,0.6,1,1,0,1,1,1,1,0,1,1,1
2,0.4,0,1,1,1,1,1,0,0,0,1,0
2,0.4,1,0,0,1,0,0,1,0,0,1,0
2,0.4,0,1,1,1,0,0,0,0,1,1,0
2,0.4,1,0,1,0,0,0,0,0,1,0,0
2,0.6,0,1,1,1,0,0,1,1,1,0,0
2,0.4,0,0,1,1,0,0,0,0,1,0,0
2,0.4,0,0,0,1,0,1,0,1,0,0,0
2,0.6,1,0,0,1,1,1,1,1,1,1,1
2,0.6,1,0,1,1,1,1,1,1,0,1,1
2,0.6,1,1,0,0,1,1,0,0,1,1,1
2,0.4,1,0,0,1,0,0,1,0,0,1,0
2,0.4,0,1,0,0,1,1,0,0,1,0,0
2,0.4,0,0,1,1,1,0,0,1,1,1,0
2,0.4,0,1,0,1,1,1,1,0,1,0,1
2,0.4,0,1,1,0,0,0,0,1,1,0,0
2,0.6,1,0,1,1,1,1,0,1,1,1,0
2,0.4,0,0,0,1,0,0,0,1,0,0,0
2,0.4,1,0,1,0,1,1,1,0,1,0,0
2,0.6,0,1,1,1,1,1,1,1,1,1,0
2,0.6,0,1,1,1,0,1,1,1,0,1,1
2,0.4,0,1,0,0,1,1,0,0,1,0,0
2,0.6,1,0,1,1,1,1,1,1,0,1,1
2,0.4,1,1,0,0,1,1,0,1,1,0,1
2,0.4,0,1,1,0,0,0,0,0,1,1,0
2,0.6,1,1,0,1,0,1,1,0,1,0,1
3,0.4,1,0,0,0,1,1,0,0,0,1,0
3,0.1,0,1,0,0,1,1,0,0,1,0,0
3,0.1,0,1,0,0,0,0,0,0,0,1,0
3,0.4,0,1,1,0,0,0,0,1,0,0,0
3,0.4,1,1,0,1,1,0,1,1,0,1,1
3,0.9,1,0,1,1,1,1,1,1,1,0,1
3,0.1,1,0,0,0,0,0,0,0,0,1,0
3,0.4,0,1,0,0,1,1,0,0,1,0,0
3,0.6,0,0,1,0,1,1,0,1,0,0,0
