condition,coherence,time,invtime,stimulus,decision
1,0.1,1,7,1,0
1,0.1,2,6,0,0
1,0.1,3,5,0,0
1,0.1,4,4,0,0
1,0.1,5,3,0,0
1,0.1,6,2,0,0
1,0.1,7,1,0,0
1,0.1,1,6,0,0
1,0.1,2,5,0,0
1,0.1,3,4,1,0
1,0.1,4,3,0,0
1,0.1,5,2,0,0
1,0.1,6,1,0,0
1,0.1,1,11,1,0
1,0.1,2,10,0,0
1,0.1,3,9,1,0
1,0.1,4,8,0,0
1,0.1,5,7,1,0
1,0.1,6,6,0,0
1,0.1,7,5,0,0
1,0.1,8,4,0,0
1,0.1,9,3,1,0
1,0.1,10,2,0,0
1,0.1,11,1,0,0
1,0.9,1,5,0,1
1,0.9,2,4,1,1
1,0.9,3,3,1,1
1,0.9,4,2,1,1
1,0.9,5,1,1,1
1,0.9,1,6,1,1
1,0.9,2,5,1,1
1,0.9,3,4,0,1
1,0.9,4,3,1,1
1,0.9,5,2,1,1
1,0.9,6,1,1,1
1,0.1,1,7,0,0
1,0.1,2,6,0,0
1,0.1,3,5,0,0
1,0.1,4,4,1,0
1,0.1,5,3,0,0
1,0.1,6,2,0,0
1,0.1,7,1,0,0
1,0.1,1,9,0,0
1,0.1,2,8,0,0
1,0.1,3,7,0,0
1,0.1,4,6,1,0
1,0.1,5,5,1,0
1,0.1,6,4,0,0
1,0.1,7,3,0,0
1,0.1,8,2,0,0
1,0.1,9,1,0,0
1,0.9,1,7,1,1
1,0.9,2,6,1,1
1,0.9,3,5,1,1
1,0.9,4,4,0,1
1,0.9,5,3,1,1
1,0.9,6,2,1,1
1,0.9,7,1,1,1
1,0.1,1,7,0,0
1,0.1,2,6,0,0
1,0.1,3,5,0,0
1,0.1,4,4,0,0
1,0.1,5,3,1,0
1,0.1,6,2,0,0
1,0.1,7,1,0,0
1,0.1,1,7,0,0
1,0.1,2,6,0,0
1,0.1,3,5,0,0
1,0.1,4,4,0,0
1,0.1,5,3,1,0
1,0.1,6,2,0,0
1,0.1,7,1,0,0
1,0.9,1,5,1,1
1,0.9,2,4,1,1
1,0.9,3,3,1,1
1,0.9,4,2,1,1
1,0.9,5,1,1,1
1,0.1,1,7,0,0
1,0.1,2,6,0,0
1,0.1,3,5,0,0
1,0.1,4,4,0,0
1,0.1,5,3,0,0
1,0.1,6,2,1,0
1,0.1,7,1,0,0
1,0.1,1,6,0,0
1,0.1,2,5,0,0
1,0.1,3,4,0,0
1,0.1,4,3,0,0
1,0.1,5,2,0,0
1,0.1,6,1,0,0
1,0.9,1,6,1,1
1,0.9,2,5,1,1
1,0.9,3,4,0,1
1,0.9,4,3,1,1
1,0.9,5,2,1,1
1,0.9,6,1,1,1
1,0.1,1,8,0,0
1,0.1,2,7,0,0
1,0.1,3,6,0,0
1,0.1,4,5,0,0
1,0.1,5,4,1,0
1,0.1,6,3,0,0
1,0.1,7,2,0,0
1,0.1,8,1,0,0
1,0.1,1,14,1,0
1,0.1,2,13,0,0
1,0.1,3,12,0,0
1,0.1,4,11,0,0
1,0.1,5,10,1,0
1,0.1,6,9,0,0
1,0.1,7,8,1,0
1,0.1,8,7,1,0
1,0.1,9,6,0,0
1,0.1,10,5,1,0
1,0.1,11,4,0,0
1,0.1,12,3,0,0
1,0.1,13,2,0,0
1,0.1,14,1,0,0
1,0.9,1,7,1,1
1,0.9,2,6,1,1
1,0.9,3,5,1,1
1,0.9,4,4,0,1
1,0.9,5,3,1,1
1,0.9,6,2,1,1
1,0.9,7,1,1,1
1,0.9,1,10,1,1
1,0.9,2,9,0,1
1,0.9,3,8,0,1
1,0.9,4,7,1,1
1,0.9,5,6,1,1
1,0.9,6,5,0,1
1,0.9,7,4,1,1
1,0.9,8,3,1,1
1,0.9,9,2,1,1
1,0.9,10,1,1,1
1,0.9,1,6,1,1
1,0.9,2,5,1,1
1,0.9,3,4,0,1
1,0.9,4,3,1,1
1,0.9,5,2,1,1
1,0.9,6,1,1,1
1,0.9,1,6,1,1
1,0.9,2,5,0,1
1,0.9,3,4,1,1
1,0.9,4,3,1,1
1,0.9,5,2,1,1
1,0.9,6,1,1,1
1,0.1,1,10,1,0
1,0.1,2,9,0,0
1,0.1,3,8,0,0
1,0.1,4,7,0,0
1,0.1,5,6,0,0
1,0.1,6,5,0,0
1,0.1,7,4,0,0
1,0.1,8,3,1,0
1,0.1,9,2,0,0
1,0.1,10,1,0,0
1,0.9,1,15,0,1
1,0.9,2,14,1,1
1,0.9,3,13,0,1
1,0.9,4,12,1,1
1,0.9,5,11,1,1
1,0.9,6,10,0,1
1,0.9,7,9,0,1
1,0.9,8,8,1,1
1,0.9,9,7,0,1
1,0.9,10,6,1,1
1,0.9,11,5,1,1
1,0.9,12,4,1,1
1,0.9,13,3,1,1
1,0.9,14,2,1,1
1,0.9,15,1,1,1
1,0.1,1,6,1,0
1,0.1,2,5,0,0
1,0.1,3,4,0,0
1,0.1,4,3,0,0
1,0.1,5,2,0,0
1,0.1,6,1,0,0
1,0.1,1,6,1,0
1,0.1,2,5,0,0
1,0.1,3,4,0,0
1,0.1,4,3,0,0
1,0.1,5,2,0,0
1,0.1,6,1,0,0
1,0.9,1,7,0,1
1,0.9,2,6,1,1
1,0.9,3,5,1,1
1,0.9,4,4,0,1
1,0.9,5,3,1,1
1,0.9,6,2,1,1
1,0.9,7,1,1,1
1,0.9,1,5,0,1
1,0.9,2,4,1,1
1,0.9,3,3,1,1
1,0.9,4,2,1,1
1,0.9,5,1,1,1
1,0.1,1,7,0,0
1,0.1,2,6,1,0
1,0.1,3,5,1,0
1,0.1,4,4,0,0
1,0.1,5,3,0,0
1,0.1,6,2,0,0
1,0.1,7,1,0,0
1,0.9,1,8,0,1
1,0.9,2,7,0,1
1,0.9,3,6,1,1
1,0.9,4,5,1,1
1,0.9,5,4,1,1
1,0.9,6,3,1,1
1,0.9,7,2,1,1
1,0.9,8,1,1,1
1,0.1,1,5,0,0
1,0.1,2,4,1,0
1,0.1,3,3,0,0
1,0.1,4,2,0,0
1,0.1,5,1,0,0
1,0.1,1,5,1,0
1,0.1,2,4,0,0
1,0.1,3,3,0,0
1,0.1,4,2,0,0
1,0.1,5,1,0,0
1,0.9,1,5,0,1
1,0.9,2,4,1,1
1,0.9,3,3,1,1
1,0.9,4,2,1,1
1,0.9,5,1,1,1
1,0.9,1,5,1,1
1,0.9,2,4,0,1
1,0.9,3,3,1,1
1,0.9,4,2,1,1
1,0.9,5,1,1,1
2,0.6,1,20,1,1
2,0.6,2,19,0,1
2,0.6,3,18,0,1
2,0.6,4,17,0,1
2,0.6,5,16,1,1
2,0.6,6,15,0,1
2,0.6,7,14,1,1
2,0.6,8,13,1,1
2,0.6,9,12,1,1
2,0.6,10,11,1,1
2,0.6,11,10,0,1
2,0.6,12,9,1,1
2,0.6,13,8,1,1
2,0.6,14,7,0,1
2,0.6,15,6,0,1
2,0.6,16,5,1,1
2,0.6,17,4,0,1
2,0.6,18,3,1,1
2,0.6,19,2,1,1
2,0.6,20,1,1,1
2,0.4,1,23,1,1
2,0.4,2,22,1,1
2,0.4,3,21,0,1
2,0.4,4,20,1,1
2,0.4,5,19,1,1
2,0.4,6,18,0,1
2,0.4,7,17,0,1
2,0.4,8,16,1,1
2,0.4,9,15,1,1
2,0.4,10,14,0,1
2,0.4,11,13,0,1
2,0.4,12,12,0,1
2,0.4,13,11,0,1
2,0.4,14,10,1,1
2,0.4,15,9,0,1
2,0.4,16,8,1,1
2,0.4,17,7,0,1
2,0.4,18,6,1,1
2,0.4,19,5,0,1
2,0.4,20,4,0,1
2,0.4,21,3,1,1
2,0.4,22,2,0,1
2,0.4,23,1,1,1
2,0.4,1,8,0,0
2,0.4,2,7,0,0
2,0.4,3,6,1,0
2,0.4,4,5,1,0
2,0.4,5,4,0,0
2,0.4,6,3,0,0
2,0.4,7,2,1,0
2,0.4,8,1,0,0
2,0.4,1,7,0,0
2,0.4,2,6,0,0
2,0.4,3,5,1,0
2,0.4,4,4,0,0
2,0.4,5,3,0,0
2,0.4,6,2,0,0
2,0.4,7,1,0,0
2,0.6,1,8,1,1
2,0.6,2,7,1,1
2,0.6,3,6,0,1
2,0.6,4,5,1,1
2,0.6,5,4,1,1
2,0.6,6,3,1,1
2,0.6,7,2,1,1
2,0.6,8,1,0,1
2,0.4,1,7,0,0
2,0.4,2,6,0,0
2,0.4,3,5,1,0
2,0.4,4,4,0,0
2,0.4,5,3,1,0
2,0.4,6,2,0,0
2,0.4,7,1,1,0
2,0.4,1,31,1,0
2,0.4,2,30,0,0
2,0.4,3,29,0,0
2,0.4,4,28,0,0
2,0.4,5,27,1,0
2,0.4,6,26,1,0
2,0.4,7,25,1,0
2,0.4,8,24,0,0
2,0.4,9,23,1,0
2,0.4,10,22,0,0
2,0.4,11,21,1,0
2,0.4,12,20,0,0
2,0.4,13,19,1,0
2,0.4,14,18,1,0
2,0.4,15,17,0,0
2,0.4,16,16,0,0
2,0.4,17,15,1,0
2,0.4,18,14,0,0
2,0.4,19,13,0,0
2,0.4,20,12,1,0
2,0.4,21,11,1,0
2,0.4,22,10,1,0
2,0.4,23,9,1,0
2,0.4,24,8,0,0
2,0.4,25,7,0,0
2,0.4,26,6,0,0
2,0.4,27,5,1,0
2,0.4,28,4,1,0
2,0.4,29,3,0,0
2,0.4,30,2,0,0
2,0.4,31,1,0,0
2,0.4,1,7,0,0
2,0.4,2,6,0,0
2,0.4,3,5,1,0
2,0.4,4,4,0,0
2,0.4,5,3,0,0
2,0.4,6,2,0,0
2,0.4,7,1,0,0
2,0.4,1,15,0,1
2,0.4,2,14,1,1
2,0.4,3,13,0,1
2,0.4,4,12,1,1
2,0.4,5,11,1,1
2,0.4,6,10,1,1
2,0.4,7,9,1,1
2,0.4,8,8,0,1
2,0.4,9,7,1,1
2,0.4,10,6,0,1
2,0.4,11,5,1,1
2,0.4,12,4,1,1
2,0.4,13,3,1,1
2,0.4,14,2,0,1
2,0.4,15,1,1,1
2,0.6,1,9,1,1
2,0.6,2,8,1,1
2,0.6,3,7,1,1
2,0.6,4,6,1,1
2,0.6,5,5,1,1
2,0.6,6,4,0,1
2,0.6,7,3,1,1
2,0.6,8,2,1,1
2,0.6,9,1,1,1
2,0.4,1,14,1,1
2,0.4,2,13,0,1
2,0.4,3,12,1,1
2,0.4,4,11,0,1
2,0.4,5,10,1,1
2,0.4,6,9,0,1
2,0.4,7,8,0,1
2,0.4,8,7,0,1
2,0.4,9,6,0,1
2,0.4,10,5,1,1
2,0.4,11,4,0,1
2,0.4,12,3,1,1
2,0.4,13,2,0,1
2,0.4,14,1,1,1
2,0.6,1,8,0,0
2,0.6,2,7,1,0
2,0.6,3,6,1,0
2,0.6,4,5,0,0
2,0.6,5,4,0,0
2,0.6,6,3,0,0
2,0.6,7,2,1,0
2,0.6,8,1,0,0
2,0.6,1,9,1,1
2,0.6,2,8,1,1
2,0.6,3,7,0,1
2,0.6,4,6,1,1
2,0.6,5,5,0,1
2,0.6,6,4,1,1
2,0.6,7,3,1,1
2,0.6,8,2,1,1
2,0.6,9,1,0,1
2,0.4,1,13,0,0
2,0.4,2,12,1,0
2,0.4,3,11,1,0
2,0.4,4,10,0,0
2,0.4,5,9,0,0
2,0.4,6,8,0,0
2,0.4,7,7,0,0
2,0.4,8,6,0,0
2,0.4,9,5,0,0
2,0.4,10,4,1,0
2,0.4,11,3,0,0
2,0.4,12,2,0,0
2,0.4,13,1,1,0
2,0.4,1,11,1,0
2,0.4,2,10,0,0
2,0.4,3,9,0,0
2,0.4,4,8,0,0
2,0.4,5,7,0,0
2,0.4,6,6,0,0
2,0.4,7,5,1,0
2,0.4,8,4,0,0
2,0.4,9,3,1,0
2,0.4,10,2,1,0
2,0.4,11,1,0,0
2,0.4,1,21,0,1
2,0.4,2,20,1,1
2,0.4,3,19,0,1
2,0.4,4,18,1,1
2,0.4,5,17,0,1
2,0.4,6,16,0,1
2,0.4,7,15,1,1
2,0.4,8,14,1,1
2,0.4,9,13,0,1
2,0.4,10,12,0,1
2,0.4,11,11,0,1
2,0.4,12,10,1,1
2,0.4,13,9,0,1
2,0.4,14,8,0,1
2,0.4,15,7,0,1
2,0.4,16,6,1,1
2,0.4,17,5,1,1
2,0.4,18,4,1,1
2,0.4,19,3,1,1
2,0.4,20,2,1,1
2,0.4,21,1,1,1
2,0.6,1,8,1,1
2,0.6,2,7,1,1
2,0.6,3,6,1,1
2,0.6,4,5,1,1
2,0.6,5,4,1,1
2,0.6,6,3,0,1
2,0.6,7,2,1,1
2,0.6,8,1,1,1
2,0.6,1,5,0,1
2,0.6,2,4,1,1
2,0.6,3,3,1,1
2,0.6,4,2,1,1
2,0.6,5,1,1,1
2,0.6,1,12,1,1
2,0.6,2,11,1,1
2,0.6,3,10,0,1
2,0.6,4,9,1,1
2,0.6,5,8,0,1
2,0.6,6,7,1,1
2,0.6,7,6,0,1
2,0.6,8,5,1,1
2,0.6,9,4,1,1
2,0.6,10,3,0,1
2,0.6,11,2,1,1
2,0.6,12,1,1,1
2,0.6,1,23,1,0
2,0.6,2,22,1,0
2,0.6,3,21,0,0
2,0.6,4,20,0,0
2,0.6,5,19,0,0
2,0.6,6,18,0,0
2,0.6,7,17,0,0
2,0.6,8,16,1,0
2,0.6,9,15,0,0
2,0.6,10,14,1,0
2,0.6,11,13,0,0
2,0.6,12,12,1,0
2,0.6,13,11,0,0
2,0.6,14,10,0,0
2,0.6,15,9,1,0
2,0.6,16,8,1,0
2,0.6,17,7,1,0
2,0.6,18,6,0,0
2,0.6,19,5,1,0
2,0.6,20,4,0,0
