condition,block,coherence,decision,evidence,high_evidence,time,rt
easy,1,0.25,1,-5,-5,1,0.53667
easy,1,0.75,0,9,9,5,0.74067
easy,1,0.75,1,4,4,6,0.76031
easy,1,0.25,1,-8,-8,2,0.59978
easy,1,0.25,1,-6,-7,4,0.71156
easy,1,0.25,1,-4,-4,2,0.59201
easy,1,0.75,1,-1,-3,7,0.8239
easy,1,0.75,0,9,9,7,0.84139
easy,1,0.25,1,-8,-8,2,0.58307
easy,1,0.25,1,-4,-4,4,0.67359
easy,1,0.25,1,-4,-5,8,0.53641
easy,1,0.25,1,-7,-7,1,0.55684
easy,1,0.25,1,-8,-8,6,0.76429
easy,1,0.25,1,-2,-3,8,0.49805
easy,1,0.25,1,-5,-5,3,0.68639
easy,1,0.75,0,7,8,1,0.54803
easy,1,0.75,1,2,2,8,0.54964
easy,1,0.25,1,-4,-5,6,0.86377
easy,1,0.25,1,-8,-8,6,0.7612
easy,1,0.75,0,6,6,6,0.91319
easy,1,0.25,1,-4,-6,2,0.64146
easy,1,0.25,1,-5,-5,1,0.55871
easy,1,0.75,0,5,5,7,0.51907
easy,1,0.75,0,5,5,7,0.51066
easy,1,0.75,0,15,15,19,1.4888
easy,1,0.75,0,5,5,9,1.1022
easy,1,0.25,1,-4,-4,8,1.0321
easy,1,0.75,0,8,9,2,0.63157
easy,1,0.75,0,5,7,3,0.73555
easy,2,0.25,1,-3,-4,1,0.55297
easy,2,0.75,0,4,5,8,0.48894
easy,2,0.75,0,1,2,5,0.71855
easy,2,0.75,0,9,9,3,0.63807
easy,2,0.75,0,8,8,8,0.53405
easy,2,0.25,1,-5,-5,7,0.46658
easy,2,0.25,1,-4,-4,8,0.50038
easy,2,0.25,1,-6,-6,8,0.50413
easy,2,0.75,0,4,4,8,0.50572
easy,2,0.75,0,7,7,1,0.55515
easy,2,0.25,1,-3,-3,7,0.48331
easy,2,0.25,1,-6,-7,2,0.6172
easy,2,0.25,1,-10,-10,2,0.56544
easy,2,0.25,1,-6,-6,8,0.55485
easy,2,0.25,1,-7,-7,7,0.98691
easy,2,0.75,0,7,8,5,0.75653
easy,2,0.75,0,6,7,4,0.77276
easy,2,0.75,1,-1,-4,9,1.1039
easy,2,0.75,0,6,7,2,0.61002
easy,2,0.25,1,-10,-10,8,1.0243
easy,2,0.75,0,6,7,4,0.76953
easy,2,0.75,0,8,8,8,0.90366
easy,2,0.75,1,0,3,20,1.7054
easy,2,0.75,1,0,3,8,1.0109
easy,2,0.75,0,5,5,1,0.56693
easy,2,0.75,0,7,7,7,0.95674
easy,2,0.75,0,8,8,2,0.65285
easy,2,0.75,0,6,6,8,0.55252
easy,2,0.25,1,-1,-3,3,0.68063
diff,1,0.47,1,-10,-10,14,1.1748
diff,1,0.47,1,2,3,32,2.066
diff,1,0.53,1,-4,-4,34,2.196
diff,1,0.53,1,2,2,26,1.8122
diff,1,0.47,1,-2,-6,38,2.3758
diff,1,0.47,0,7,7,25,1.7153
diff,1,0.53,1,1,6,33,2.1397
diff,1,0.53,0,8,8,14,1.1909
diff,1,0.53,0,10,11,10,0.96851
diff,1,0.53,0,4,7,8,0.87825
diff,1,0.47,0,-13,-13,59,2.6465
diff,1,0.47,0,0,7,30,1.9797
diff,1,0.53,0,-9,-9,59,2.6245
diff,1,0.53,0,-7,-7,59,2.5617
diff,1,0.53,0,6,10,12,1.1038
diff,1,0.53,1,-9,-11,59,3.5698
diff,1,0.53,0,-13,-13,59,2.8294
diff,1,0.47,0,5,5,41,2.5587
diff,1,0.47,0,10,12,16,1.2867
diff,1,0.53,0,5,6,19,1.5004
diff,1,0.53,1,-19,-19,59,2.8879
diff,2,0.53,0,8,10,8,0.8834
diff,2,0.47,1,-8,-9,12,1.0724
diff,2,0.47,0,2,6,18,1.4483
diff,2,0.53,1,-9,-10,23,1.67
diff,2,0.53,0,6,6,18,1.3924
diff,2,0.47,1,-17,-17,23,1.6397
diff,2,0.47,0,0,8,26,1.7515
diff,2,0.53,0,10,10,8,0.94344
diff,2,0.53,0,13,13,41,2.5929
diff,2,0.47,0,10,13,30,1.9526
diff,2,0.53,0,13,14,93,5.5607
diff,2,0.53,0,-9,-9,93,4.9926
diff,2,0.47,1,-3,-6,13,1.2082
diff,2,0.47,1,-17,-19,29,2.1716
diff,2,0.53,0,8,8,40,2.7112
diff,2,0.47,1,-6,-9,34,2.1755
diff,2,0.53,0,0,5,38,2.8107
diff,2,0.53,0,-51,-51,93,3.0806
diff,2,0.47,1,-5,-7,35,2.2563
diff,2,0.47,0,-37,-37,93,3.1318
mix,1,0.47,0,-4,-4,8,0.86631
mix,1,0.25,1,-4,-4,6,0.39657
mix,1,0.75,1,2,2,2,0.55599
mix,1,0.47,0,-4,-4,8,0.50759
mix,1,0.47,1,-1,-2,1,0.50139
mix,1,0.53,0,1,3,1,0.55177
mix,1,0.25,1,-7,-7,1,0.56002
mix,1,0.47,0,1,3,1,0.51939
mix,1,0.75,1,5,5,1,0.53542
mix,1,0.47,1,0,3,2,0.56265
mix,1,0.47,0,0,2,6,0.80111
mix,1,0.47,1,-1,-1,7,0.80858
mix,1,0.25,1,-4,-5,6,0.79044
mix,1,0.75,0,8,8,6,0.76885
mix,1,0.53,0,1,4,11,1.0143
mix,1,0.47,1,-4,-6,8,0.92971
mix,1,0.75,0,4,4,8,0.5279
mix,1,0.75,0,5,6,3,0.62962
mix,1,0.47,0,-2,-4,6,0.87152
mix,1,0.53,1,7,7,9,1.0158
mix,1,0.25,1,-11,-12,13,1.1226
mix,1,0.25,0,1,3,1,0.59308
mix,1,0.25,1,-4,-5,8,0.49682
mix,1,0.25,1,-6,-6,6,0.8043
mix,1,0.25,1,-7,-7,1,0.61818
mix,1,0.25,1,0,2,6,0.84666
mix,1,0.75,1,3,3,3,0.62839
mix,1,0.75,0,10,10,2,0.65447
mix,1,0.25,1,-8,-8,8,0.52169
mix,2,0.75,0,8,10,10,0.95444
mix,2,0.75,0,8,8,10,0.98648
mix,2,0.53,1,-2,-5,32,2.052
mix,2,0.75,0,3,6,7,0.80821
mix,2,0.25,1,-7,-8,11,1.0537
mix,2,0.53,0,11,11,11,1.0414
